YouTube,status,name,track,day,organization,photo,co-speaker,linkedin,linkedin2,title,abstract,twitter,twitter2,description,bio
https://youtu.be/lyHi_wzbVhs?feature=shared,a keynote,Alayshia Knighten,day1,1,Freelance,Alayshia Knighten.png,,https://www.linkedin.com/in/alayshia/,,Keynote: Supercharging Observability with Feature Flagging,"Feature flags allow you to enable and disable code without changing or deploying any source code, as well as letting you selectively route traffic to certain users or a percentage of certain users, along with other great tricks. It’s powerful stuff … but when you combine it with observability (the ability to understand the inner workings of your complex systems and other unknown-unknowns), what you get is a supercharged, superpowered version of both.
With observability and feature flags, you and your teams get deep technical and business insights in real time about how your code is working, what changed with your last deploy, and how changes are impacting different users, apps, or groups.",,,,
https://youtu.be/fR0roCsSSBM?feature=shared,a keynote,Miko Pawlikowski,day1,1,SRE Author,Miko Pawlikowski.png,,https://www.linkedin.com/in/mikolajpawlikowski/,,Keynote: The state of SRE in 2022,"Come and explore the landscape of SRE as it is in 2023, with the new trends, techniques and tools on the horizon.",@mikopawlikowski,,,
https://youtu.be/RabwW3zUFds?feature=shared,a keynote,Joyce Lin,day1,1,Postman,Joyce Lin.png,,https://www.linkedin.com/in/joyce-lin/,,Keynote: Developers are all the same,"We know that developers are not all the same. But wait, they kind of are. This talk shares lessons learned from 20+ million developers to help SREs better engage with application developers.",@PetuniaGray,,,
,confirmed,Jelmer de Jong & Lennart Timmers,day1,1,Xebia,Jelmer de Jong & Lennart Timmers.png,Lennart Timmers,https://www.linkedin.com/in/jelmerdejong-xebia/,https://www.linkedin.com/in/lennarttimmers/,Let's play the SRE Game!,"Whether you are already working with SRE in your organization or thinking about implementing this methodology, you learn the best by doing, and doing is much more fun when playing. The SRE game provides a safe environment to start experimenting with SRE. In the game, you will be challenged to advise an organization on increasing its reliability. Like in real life, you should balance the quality of the system with the number of features you deliver. Of course, incidents occur, and your success depends on the decisions you made. We will start the workshop with a short keynote. The keynote introduces you to the core concepts of the SRE game and practical tips on getting started. After the keynote, we will play the SRE game.
During the SRE game, you need to help a fictive organization increase the reliability of its systems without stopping to deliver new features.
After the game, we will reflect on the teams' performance and explain the optimal strategy to help the fictive organization. We will close the session with a small prize ceremony providing the winning team and the runner-up a small prize.",,,,
https://youtu.be/skOkuXXprkw?feature=shared,confirmed,Martin Wimpress,day1,1,Slim.ai,Martin Wimpress.png,,https://www.linkedin.com/in/martinwimpress/,,Managing Containers at Scale ,"Moving your application to containers can be daunting. Many organizations have struggled with the move to microservices and containerized workflows. We’ve been there, and now that we’ve found the light at the end of the tunnel, we want to share it!",,,,
https://youtu.be/1E0Cgq7WzcE?feature=shared,confirmed,Lerna Ekmekcioglu,day1,1,AWS,Lerna Ekmekcioglu.png,,https://www.linkedin.com/in/lerna/,,Multi Region Deployments with AWS CI/CD and Terraform,"Have you ever looked into multi region deployments on AWS whether to enhance user experience or ensure business continuity to name a few? Are you interested to hear about how to achieve repeatability of multi region deployments with AWS CI/CD and Terraform? If yes, this talk is for you.",,,,
https://youtu.be/0i-GtIVLkr8?feature=shared,confirmed,Kobi Biton,day1,1,AWS,Kobi Biton.png,,https://www.linkedin.com/in/kobib/,,"Kubernetes, Lessons Learnt","This session will focus on lesson learnt from architecting and deploying (large) kubernetes clusters at production environments. The lessons are all real world, Ones that me and the customers have experienced. If I can ""Save"" one soul I have done my part :-)",,,,
https://youtu.be/gWmaajfSrNQ?feature=shared,confirmed,Ryan McDonald,day1,1,FireHydrant,Ryan McDonald.png,,https://www.linkedin.com/in/rjmcdonald83/,,Incidents: the customer empathy workshop you never wanted,"Organizations are focusing on incidents more than ever but failing to leverage them to their full potential. But by framing incidents and post-incident reviews as customer empathy-building opportunities, we can facilitate more creative technical problem-solving, unlock improvements to your response process, and enable organizational agility that otherwise might have gone unnoticed.
This workshop will deliver actionable methods to increase customer empathy before, during, and after an incident. Attendees will learn how reframing incidents and post-incident reviews around the customer inspires more creative problem-solving and drives superior experiences for customers; and how deeper relationships between responding groups creates organizational gold.",,,,
https://youtu.be/g7cu6PLvE_k?feature=shared,confirmed,Yishai Beeri,day1,1,LinearB,Yishai Beeri.png,,https://www.linkedin.com/in/yishaibeeri/,,"A State of Continuous Merge: The Secret to Happier, More Productive Dev Teams","Developer happiness is a nearly exact reflection of how happy your code merge path is... when it's riddled with friction, this impacts dev experience as well. We'll dive into how to change this.",@yishaibeeri,,,
https://youtu.be/ubG7BlS62yc?feature=shared,confirmed,Ben Hirschberg,day1,1,Armo ,Ben Hirschberg.png,,https://www.linkedin.com/in/ben-hirschberg-66141890/,,Overcoming CVE Shock - Adding Perspective in Vulnerability Scanning,“CVE shock” is the state of total helplessness felt by a dev or security engineer facing the overwhelming list of CVEs returned by the vulnerability scanner. Sound familiar? We’ll unpack this and help you overcome it.,@slashben81,,,
https://youtu.be/SJ-tQhiZRNU?feature=shared,confirmed,Henrik Rexed,day1,1,Dynatrace,Henrik Rexed.png,,https://www.linkedin.com/in/hrexed/,,The Freedom of Kubernetes requires Chaos Engineering to shine in production,"Like any other technology transformation, k8s adoption typically starts with small “pet projects”. One k8s cluster here, another one over there. If you don’t pay attention, you may end up like many organizations these days, something that spreads like wildfire: hundreds or thousands of k8s clusters, owned by different teams, spread across on-premises and in the cloud, some shared, some very isolated.
When we start building application for k8s, we often lose sight of the larger picture on where it would be deployed and more over what the technical constraints of our targeted environment are.
Sometimes, we even think that k8s is that magician that will make all our hardware constraints disappear.
In reality, Kubernetes requires you to define quotas on nodes, namespaces, resource limits on our pods to make sure that your workload will be reliable. In case of heavy pressure, k8s will evict pods to remove pressure on your nodes, but eviction could have a significant impact on your end-users.
How can we proactively test our settings and measure the impact of k8s events to our users? The simple answer to this question is chaos Engineering.",@Hrexed,,,
https://youtu.be/qIx53UfLmLc?feature=shared,confirmed,Chris Nesbitt-Smith,day1,1,UK Government,Chris Nesbitt-Smith.png,,https://www.linkedin.com/in/cnesbittsmith/,,Policy as [versioned] Code,"Policy often causes more harm than good, is slow to update, exemptions are harder still to manage, measuring compliance at scale is near on impossible. Throwing some curly braces at a problem is not the solution. How do we fix it?",,,,
https://youtu.be/cIhZv7qHw3E?feature=shared,a keynote,Ajuna Kyaruzi,day2,2,Datadog,Ajuna Kyaruzi.png,,https://www.linkedin.com/in/ajuna/,,Keynote: After the dust has settled: learning from incidents,"You’ve saved the world (or at least your local dev environment) and are now eating some celebratory shawarma. Now what? The post-incident world often looks different to the one before. What next?
We’ve heard of post-mortem documents and incident review meetings but are they successful? Did we figure out the root cause or just cure the effects? Have we made things more brittle in the process? Might we have to repeat the steps in a month or three?
This talk will go over some case studies of incidents and their remediations to try to answer some of those questions, and also the hardest part: getting the ball rolling.",,,,
https://youtu.be/9oqkBVxYPZc?feature=shared,a keynote,Gunnar Grosch,day2,2,AWS,Gunnar Grosch.png,,https://www.linkedin.com/in/gunnargrosch/,,Keynote: Improve resilience with automated chaos engineering,"What is the most valuable outcome? This is the most important question to answer before starting an engineering metrics program. In this talk I discuss which dev team metrics matter most, the outcome they produce, and pitfalls to avoid when starting a metrics initiative.",@GunnarGrosch,,,
,confirmed,Aengus Rooney & Willie Engelbrecht,day2,2,Grafana Labs,Aengus Rooney & Willie Engelbrecht.png,Willie Engelbrecht,https://www.linkedin.com/in/aengusrooney/,https://www.linkedin.com/in/willie-engelbrecht/,SRE Workshop,Hands-on session on latest SRE tools from Grafana Labs,,,,
https://youtu.be/3SF6AOWFrWk?feature=shared,confirmed,Rajat Gupta,day2,2,TIDAL ,Rajat Gupta.png,,https://www.linkedin.com/in/rajatguptarg/,,Automation with Scalable & Secure SSH,How do you deliver security and reliability on a network with thousands of servers with complete automation? We will use signed certificates with principals for SSH to automate the infrastructure with Ansible. It will scale SSH securely and reliably to automate thousand of servers using Ansible.,,,,
https://youtu.be/nhI8yU3ZZvA?feature=shared,confirmed,Joe Scholz,day2,2,Capital One,Joe Scholz.png,,https://www.linkedin.com/in/agilejoe/,,Reliability Runs Efficiently at the Junction of Automation and Agile,"Reliability Engineering is more relevant daily, but there is a right way and a wrong way to approach it. The wrong way is manual tracking and validation. The right way is automation and single-source of truth. We designed this presentation to show how automation can make Teams' work self-managing.",,,,
https://youtu.be/Za8rZ7bZiII?feature=shared,confirmed,Simon Copsey,day2,2,OpenCredo,Simon Copsey.png,,https://www.linkedin.com/in/simoncopsey/,,"Technology is Necessary, But Not Sufficient","Adopting and evolving technologies in an organisation is important and can offer significant advantages. However, translating these advantages into bottom-line benefits often comes from combining technical change with social change - we must not just change the technology, but also rewrite the rules governing how that technology is used.
We are seeing growing thought leadership moving into this sociotechnical space: SRE, Data Mesh, DevOps and Platform Engineering are equally about the technology as they are about the rethinking of how teams are designed and organised.
In this talk we hope to help you understand how to apply this sociotechnical thinking to your organisation, so you unlock the - often untapped - bottom-line benefits of technical change.",,,,
