ka,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,a keynote,Ajuna Kyaruzi,,1,Datadog,Ajuna Kyaruzi.png,https://www.linkedin.com/in/ajuna/,,@datadoghq,,Keynote: Automated Incident Management,,,
,a keynote,Chris Cooney,,1,Coralogix,Chris Cooney.png,https://www.linkedin.com/in/chris-cooney-06751870/,,,,Keynote: The History of DevOps in 30 minutes,"Let’s wander down memory lane, and revisit all of the strange things we used to do to keep systems alive. Remember the horrible things we used to do to the tail command? File roll-over errors? Staring in horror at failed SSH connections? Well, I do and now, so will you.",,"Chris is the Developer Advocate for Coralogix and is passionate about all things observability, organizational leadership, and cutting-edge engineering. He’s worked on everything, from internal developer platforms, enormous Kubernetes clusters, embedded systems running industrial batteries on the UK balancing mechanism and more."
,a keynote,Alayshia Knighten,,1,Pulumi,Alayshia Knighten.png,https://www.linkedin.com/in/alayshia/,,,,Keynote: Supercharging Observability with Feature Flagging,"Feature flags allow you to enable and disable code without changing or deploying any source code, as well as letting you selectively route traffic to certain users or a percentage of certain users, along with other great tricks. It’s powerful stuff … but when you combine it with observability (the ability to understand the inner workings of your complex systems and other unknown-unknowns), what you get is a supercharged, superpowered version of both.
With observability and feature flags, you and your teams get deep technical and business insights in real time about how your code is working, what changed with your last deploy, and how changes are impacting different users, apps, or groups.",,
,a keynote,Joyce Lin,,2,Viam,Joyce Lin.png,https://www.linkedin.com/in/joyce-lin/,,@PetuniaGray,,Keynote: Developers are all the same,"We know that developers are not all the same. But wait, they kind of are. Let’s explore the changing landscape that affects individuals and infrastructure alike, and a more recent approach in development where reproducibility, scalability, and resilience take precedence over handcrafted code.",,
,a keynote,Miko Pawlikowski,,2,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: The state of SRE in 2024,"Come and explore the landscape of SRE as it is in 2024, with the new trends, techniques and tools on the horizon.",,
,a keynote,TBD,,2,TBD,placeholder.png,,,,,Keynote: TBD,TBD,TBD,
,confirmed,Gunnar Grosch,SRE lessons,1,AWS,Gunnar Grosch.png,https://www.linkedin.com/in/gunnargrosch/,,@GunnarGrosch,,Improve application resilience with chaos engineering,"This session covers the basics of how to use isolation boundaries to build resilient applications, and dives deep into using chaos engineering and AWS Fault Injection Service (AWS FIS) to test those boundaries.","AWS provides isolation boundaries, including Availability Zones and AWS Regions, which can be used to meet high availability and continuity of operations requirements. To verify that your application behaves as expected, it’s critical to test its response to impairments. This session covers the basics of how to use isolation boundaries to build resilient applications, dives deep into using chaos engineering and AWS Fault Injection Service (AWS FIS) to test those boundaries, and provides best practices around continuous resilience to help you prevent regression and maintain application availability.","Gunnar is a Principal Developer Advocate at Amazon Web Services (AWS) based in Sweden. He has over 20 years of experience in the IT industry and has previously worked as both a frontend and backend developer, as an operations engineer within cloud infrastructure, and as a technical trainer, in addition to several different management roles. With a focus on building reliable and robust serverless applications, Gunnar has been one of the driving forces in creating techniques and tools for using chaos engineering in serverless. He regularly and passionately speaks at events on these and other serverless topics around the world."
,confirmed,Andreia Otto,SRE lessons,1,Adidas,Andreia Otto.png,https://www.linkedin.com/in/andreia-otto/,,,,Navigating the Transition: SRE Challenges and Highlights in Shifting from Monolith to Microservices at adidas e-commerce,"Explore adidas e-commerce's shift from monolithic to microservices in this talk. Uncover the challenges and insights faced by SREs – from scalability to incident response. Join us for practical lessons, best practices, and success stories navigating SRE in the microservices era.",,"Andreia Otto, leading the adidas Digital SRE team. Hailing from Brazil and now residing in Germany, she oversees the reliability of adidas e-commerce. Implementing DevOps practices and SRE principles daily, Andreia ensures seamless operations in the dynamic world of digital commerce. When not working, she is usually outdoors with her dogs or eating cheesecake with a cup of coffee!"
,confirmed,Carly Richmond,SRE lessons,1,Elastic,Carly Richmond.png,https://www.linkedin.com/in/carly-richmond/,,,,How to Destroy an SRE,"To understand how to retain, build and grow SREs, we need to know what not to do. In my time in tech I've been a contributor and manager and have good and bad experiences of managing and being managed.
Join me as I share how not to manage SRE teams and the mistakes made in this ecosystem.","Retention of SREs is a difficult challenge for teams. LinkedIn listed Site Reliability Engineers on their 2023 Jobs on the Rise list, showing demand for their skills is rising. To keep SREs engineers happy in this booming industry, as managers, we need to know how to make them unhappy.
Join me as I talk about antipatterns in management, development, testing and monitoring patterns that can stop you from retaining awesome SREs.","Carly is a Principal Developer Advocate and Manager at Elastic, based in London, UK. Before joining Elastic in 2022, she spent over 10 years working as a technologist at a large investment bank, specialising in Frontend Web development and agility. She is an agile evangelist, UI enthusiast, and regular blogger.
In her spare time, she enjoys cooking, photography, drinking tea and chasing after her young son."
,confirmed,Nicki Watt,SRE lessons,1,OpenCredo,Nicki Watt.png,https://www.linkedin.com/in/nickiwatt/,,,,Beyond K8S - Maturing Your Platform Engineering Initiative,"Trying to mature your platform engineering team? Don't know where to start, or what pitfalls may be waiting for you. Then this talk is for you. Based on real world experience gained across a variety of clients, and using the CNCF platform maturity model as a guide, we explore & answer such questions","Kubernetes tends to be one of the first tools reached for when building platforms and supporting platform engineering initiatives. But success relies on a lot more than just making K8S itself easier for developers to consume. Working out how to balance people, process, policy and technology within a unique organisational context is key to uncovering a feasible and sustainable path forward.
This talk will explore how the CNCF platform maturity model can be used as part of a toolbox to help guide organisations think through such journeys. We begin by identifying a few common scenarios organisations find themselves starting in, and map this onto the model. Then, leveraging our experience of having partnered with different organisations on their platform engineering journeys, we plot out a few paths and options which can help to practically move organisations towards achieving their desired business outcomes.","Nicki Watt currently serves as OpenCredo’s CTO and CEO, a pragmatic hands on software consultancy with specialisms in platform and data engineering as well as cloud native solution development. Her career has seen her wear many hats from Engineer, Systems & Technical Architects to Consultant and now CTO and CEO. With a background in leading and overseeing the successful development and delivery of large scale platform and application development projects, she is a techie at heart, author and regular conference speaker who loves to share her experience with the broader community."
,confirmed,Justin Garrison,SRE lessons,1,Sidero Labs,Justin Garrison.png,https://www.linkedin.com/in/justingarrison/,,@rothgar,,Declarative Linux with the Common Operating System Interface,We run declarative systems built on top of an imperative operating system. It’s time we simplified our interface for Linux with a declarative API.,,"Justin is the director of developer relations at Sidero Labs. He helps companies simplify their Kubernetes and Linux infrastructure. He previously helped create Oscar winning movies at Disney, built infrastructure for Disney+, and improved Amazon EKS as part of the product team. In his spare time he builds modern-retro computers and streams Moana on repeat."
,confirmed,Dotan Horovits,SRE lessons,1,Cloud Native Computing Foundation,Dotan Horovits.png,https://www.linkedin.com/in/horovits/,,@horovits,,Platform Engineering: SRE & DevOps. Evolution or a Fancy Rename?,"Discover the truth behind Platform Engineering! Join Horovits as he delves into its evolution, demystifies its purpose, and reveals how it maps to the DevOps maturity model. Gain insights from industry giants and community white papers, and learn when and why your organization needs it.","Everyone’s talking about Platform Engineering these days. Even Gartner featured it in its Hype Cycle for Software Engineering. But what is Platform Engineering really about? Is it the next stage in the evolution of SRE and DevOps? Is it just a fancy rebrand? And most importantly - do I need it?

In this talk Horovits will look into the accumulated experience of larger organizations, the common pains that drive them to adopt Platform Engineering, and what DevOps and SRE responsibilities it covers. The talk will also share insights from the recent whitepaper published by the Cloud Native Computing Foundation’s TAG App Delivery. 

Horovits will also provide guidance on which organizations should adopt Platform Engineering and at which point in their DevOps maturity lifecycle. This talk will equip you with the fundamentals to assess Platform Engineering for your organization.
","Horovits is a DevOps Specialist & CNCF Ambassador. He lives at the intersection of technology, product and innovation. With over 20 years in the hi-tech industry as a software developer, a solutions architect and a product manager, he brings a wealth of knowledge in cloud and cloud-native solutions, DevOps practices and more. 
Horovits is an international speaker and thought leader, as well as an Ambassador of the Cloud Native Computing Foundation (CNCF). He runs the successful OpenObservability Talks podcast, and is a sought writer and blogger. 
Currently working as the principal developer advocate at Logz.io, Horovits evangelizes on Observability in IT systems using popular open source projects such as Prometheus, OpenSearch, Jaeger and OpenTelemetry."
,confirmed,Divine Odazie,SRE lessons,1,Severalnines,Divine Odazie.png,https://www.linkedin.com/in/divine-odazie/,,@_odazie,,Cloud Native Technologies: The Building Blocks of Modern Database Software,"Learn how cloud-native technologies like Kubernetes are revolutionizing database software, enabling scalability, resilience, and agility. Join Divine a Data on Kubernetes Ambassador to explore real-world examples and best practices for building the next generation of database solutions.","In the face of ever-growing data volumes and the increasing complexity of modern applications, cloud native technologies are emerging as the cornerstone of next-generation database systems. Last year, Divine joined Severalnines, a company that builds database automation and management software used by hundreds of organizations. Coming from a background of cloud native technologies like Kubernetes and Cilium, Divine joined Severalnines in their journey building cloud native database software for cloud service providers and enterprise organizations. In this talk, Divine will explore the multifaceted (many sides) role of cloud native technologies in shaping modern database systems. Divine will delve into the specifics of how Kubernetes Operators, Container Storage Interfaces (CSI), APIs, etc., are transforming the way databases are built, deployed, and managed. Towards the end, Divine will discuss the benefits these technologies bring, such as enhanced scalability, resilience, agility, and automation, highlighting case studies of organizations across the Data on Kubernetes (DoK) community. This presentation is designed for database administrators, software engineers, DevOps professionals, and anyone interested in the intersection of cloud-native technologies and database systems.","Divine Odazie is a Technology Evangelist at Severalnines with over 5+ years of experience in Technology and a track record in Backend Engineering, DevOps, Cloud Native and Developer Relations on a global scale. He has given talks/workshops at developer conferences like Open Source Summit Europe, KubeCon North America, Cloud Native Rejekts, and Ansible Contributor Summit."
