YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Guido Smit,1,1,ING,Guido Smit.png,https://www.linkedin.com/in/guido-r-smit/,,,,Opening Keynote,Coming soon...,,Coming soon...
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,"Keynote: What Observability Can Learn From BI: Decoupling for Speed, Scale, and Flexibility","Today’s observability platforms are often vertically integrated—binding data storage, query, and visualization layers into a single stack. This tight coupling drives up costs, makes integrations painful, and slows teams down. But it doesn’t have to be this way.
In this talk, we’ll explore how SRE teams can benefit from a more modular approach to observability—one inspired by the evolution of Business Intelligence. Just as BI stacks evolved to separate ETL, data warehouses, and dashboards, observability stacks can be designed around clear boundaries: interoperable tools, technology-neutral query layers, and plug-and-play storage.
You’ll learn why decoupled observability architecture is essential for cost control, agility, and tool flexibility—and how to move toward a stack that meets the real-world needs of today’s SRE teams.",,"Peter Marshall is a technology leader and community builder with a background in developer relations, data architecture, and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage the global Apache Druid community through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings a blend of technical expertise and strategic vision to help organizations connect with developers and drive impact through open source."
,keynote,"Tasmia Niazi, Roheel I & Bas van Alphen",1,1,,"Tasmia Niazi, Roheel I & Bas van Alphen.png",https://www.linkedin.com/in/tasmia-niazi/,"https://www.linkedin.com/in/roheel-islam/
https://www.linkedin.com/in/basvanalphen/",,,Panel Discussion,Discover the reliability tech stack and practices behind top European institutions.,,"**Tasmia Niazi** is a passionate and dedicated professional with a background in technology and managing projects from initiation to post implementation support. Tasmia has successfully navigated her career while pursuing higher education, mentoring and managing family life. She recently completed her Masters Apprenticeship in Software Engineering all while balancing the challenges of pregnancy raising a toddler and working. With a keen interest in innovation, Tasmia thrives in fast paced environments contributing to the tech community, speaking at Hackathons, mentoring juniors to arranging platform away days. She is a strong advocate for the empowerment of women in technology and continuously inspires those around her with resilience and passion. Mentoring, raising awareness for women in technology and being an Ambassador are the most aspiring roles Tasmia plays.

**Roheel I** is a Senior Engineer specialising in building resilient systems and optimising development pipelines. His work has reduced deployment errors, strengthened monitoring, and improved uptime across large-scale services. With prior experience at UBS and the Medicines and Healthcare products Regulatory Agency, Roheel blends technical depth in full-stack development with a pragmatic approach to reliability and business alignment.

**Bas van Alphen** is the IT Chapter Lead for Site Reliability Engineering at ING, with more than 15 years of experience ensuring the stability of complex financial systems. He oversees teams managing service continuity, monitoring, and incident response across ING’s digital platforms. With a background that spans testing, engineering, and leadership, Bas is recognised for his calm, systematic approach to reliability and his ability to keep critical systems running seamlessly."
,confirmed,Alayshia Knighten,1,1,,Alayshia Knighten.png,https://www.linkedin.com/in/alayshia/,,,,Autonomy with Assurance for Reliability,"SREs are on the frontlines of uptime, performance, cost efficiency, and incident response. So, at times, policies for security and compliance often live in stale docs enforced inconsistently, if at all, until something breaks or someone has an audit. Policy as Code (PaC) replaces that mess with real-time automation right where the work happens.

We will discuss how PaC bridges the gap between security and operations by making policies transparent, codified, versioned, and customizable so you can enforce external standards (CIS, SOC 2, HIPAA) and your own internal rules (like requiring HA in prod but not in dev). You'll see how to apply policy intent consistently from the pipeline directly to runtime, giving teams proactive control, not reactive fire drills or unnecessary ""vibe killers"".

We'll walk through a full-lifecycle live demo to see the possibilities of PaC to: - Prevent misconfigurations with real-time checks - Enforce policies consistently across repos, infra, and runtime - Customize and codify controls that reflect unique needs - Control cloud costs through autoscaling, right-sizing, and cleanup - Unify security, dev, and ops with shared policies

What will we accomplish? Well, no more stale docs or arguments around policies, faster deploy, tighter cost controls, and safer infrastructure without slowing anyone down.",,"**Alayshia Knighten** is a seasoned engineering leader and customer success strategist with a strong background in DevOps, cloud architecture, and technical enablement. Currently serving as the Founding Principal Customer Success Engineer at Mondoo, she brings over a decade of experience helping organizations build and scale secure, efficient, and reliable infrastructure.

Previously, Alayshia held key roles at Pulumi as a Senior Customer Architect and at Honeycomb.io, where she led implementation engineering and partnerships architecture. Her expertise spans across engineering consulting at Chef Software and hands-on DevOps engineering at Verisign. Passionate about empowering teams and driving technical excellence, Alayshia is known for bridging the gap between engineering and customer success.
"
,confirmed,Diana Todea,1,1,VictoriaMetrics,Diana Todea.png,https://www.linkedin.com/in/diana-todea-b2a79968/,,,,Cutting Through Metrics Cardinality Noise with VictoriaMetrics,"In high-scale environments, metrics cardinality isn’t just a resource concern, it’s an architectural challenge. Left unchecked, it can impact performance, query latency, and even system stability. This talk takes a deep technical dive into how VictoriaMetrics enables advanced observability practices with a strong focus on cardinality management. I’ll explore how to design efficient and scalable scrape configurations using Prometheus-compatible jobs and exporters, optimize your label strategies, and use built-in cardinality analysis tools within VictoriaMetrics to identify and mitigate high-cardinality patterns early. The session also covers integration with Grafana open source for visualizing metrics in a way that supports signal clarity and operational response, as well as setting up practical alerting strategies that minimize noise while ensuring fast issue detection. By the end of the talk, the audience will understand the engineering trade-offs of high-cardinality metrics and how to detect them, how VictoriaMetrics handles storage and querying at scale, how to build resilient and low-overhead scrape configs with Prometheus compatibility and how to use Grafana open source to highlight cardinality hot spots and improve alert signal quality.",,"Diana is a DX Engineer at VictoriaMetrics. She is passionate about Observability, machine learning. She is an active contributor to the OpenTelemetry CNCF open source project and supports women in tech."
,confirmed,Yishai Beeri,1,1,LinearB,Yishai Beeri.png,https://www.linkedin.com/in/yishaibeeri/,,,,Your AI Code Reviews Are Missing the Point (And How to Fix It),"Most AI code review implementations focus on the wrong metrics—counting comments generated or code accepted rather than measuring developer velocity and code quality improvements. The real value lies in intelligent context integration and organizational learning at scale.
This talk examines successful AI code review deployments across engineering organizations, revealing four critical success factors: seamless integration with your existing development context (codebase, tickets,  architectural decisions), specialized review guidelines that scale from 5 to 50,000 repositories, comprehensive observability to understand where AI adds value versus where it creates noise, and strategic human-AI collaboration patterns.
We'll explore real case studies of teams who've moved beyond basic linting to utilizing AI code review that understands business logic, catches architectural anti-patterns, and actually accelerates PR cycles. You'll learn when AI reviews shine, when they don't, and how to measure the difference.
This isn't about replacing human reviewers—it's about building an intelligent system that amplifies human expertise and reduces cognitive load where it matters most.",,
,confirmed,Alessandro Vozza,1,1,Microsoft,Alessandro Vozza.png,https://www.linkedin.com/in/alessandrovozza/,,bongo,,The USB-c for your Copilot: Securing MCP Servers with API Management,"The Model Context Protocol (MCP) has seen a meteoric rise to become the de-facto connecting mycelium for GenAI models and applications. In this session, we will explore the critical role of API management in securing MCP servers. Learn how to leverage API management as the ""USB-c"" connector for your Copilot, ensuring seamless and secure integration. We will cover best practices, real-world examples, and practical tips to enhance your server security and streamline operations. Join us to discover how API management can be the key to unlocking robust security for your MCP servers.",,"Alessandro, a seasoned community leader, has spent the last few years architecting cloud-native infrastructures for Microsoft customers, energizing the Dutch tech community, and helping professionals achieve CKx certification. With over 25 years immersed in open-source technologies, Alessandro is deeply passionate about the cloud-native ecosystem. He's now back at Microsoft as a Senior Technical Specialist in Application Innovation & AI."
,confirmed,Michael Cote,1,1,Tanzu,Michael Cote.png,https://www.linkedin.com/in/michaelcote/,,cote,,Platform Engineering and AI - Two Buzzwords Finally Meet!,"Two Buzzwords Finally Meet! How should we manage AI in large organizations? What are the ""services"" developers need to add AI to enterprise apps, and what role do platform engineers take? Where do data scientists fit in? How does MCP, A2A, and whatever the latest AI API is fit in? There are so many questions because the field of managing AI in enterprises barely exists. We need to figure it out quickly however, before we see a repeat of a past patterns, like shadow AI and unmanageable apps in production. Based on real-world examples, this talk will go over what we currently know about using platform engineering to help developers use AI.",,"[Michael Cote](https://cote.io/) studies how large organizations get better at building software to run better and grow their business. His [books](https://cote.io/books/) [_Changing Mindsets_](https://www.oreilly.com/library/view/changing-mindsets-the/9781098105839/?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), [_Monolithic Transformation_](https://tanzu.vmware.com/content/ebooks/monolithic-transformation?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), and [_The Business Bottleneck_](https://content.pivotal.io/ebooks/the-business-bottleneck?utm_source=cote&utm_campaign=devrel&utm_content=bioblock)_ cover these topics. He's been an industry analyst at RedMonk and 451 Research, done corporate strategy and M&A, and was a programmer. He also co-hosts several podcasts, including [Software Defined Talk](https://www.softwaredefinedtalk.com/). His daily-ish newsletter is at [newsletter.cote.io](https://newsletter.cote.io/)."
,confirmed,Kevin van der Vlist,1,1,ING,Kevin van der Vlist.png,https://www.linkedin.com/in/kevinvandervlist/,,,,From Incident Response to Preventive Mitigation: Leveraging CodeQL and LLMs at Scale,"After recovering from incidents, we must ensure that effective mitigation measures are in place to prevent similar issues in the future.

However, clearly expressing the characteristics of past problems and identifying similar occurrences across large codebases is a significant challenge, especially at the scale of ING.

We present our approach to encoding known and ING-specific (anti)patterns as CodeQL queries. These queries are used to assess both individual and multiple repositories, enabling us to pinpoint risks and reach out directly to the responsible teams, rather than broadcasting generic warnings to everyone.

A key challenge is the volume of findings: a single query can yield hundreds of results, overwhelming engineering teams if not managed carefully. To address this, we define a process that not only assesses findings but also generates actionable patches and contextual advice. By integrating Large Language Models (LLMs), we combine the specific context of each code finding with the surrounding source code and high-level problem descriptions, resulting in tailored, practical recommendations for engineers.

We translate incident learnings and ING-specific anti-patterns into CodeQL queries, making them reusable and scalable. For each finding, we use LLMs to generate context-aware advice and, where possible, code patches. This ensures recommendations are both actionable and relevant to the code owner.

By combining static analysis with LLM-driven advice, we turn past mistakes into valuable lessons, foster professional growth, and continuously improve our engineering community. We believe this approach is broadly applicable to other large organizations seeking to scale preventive mitigation.",,"Kevin van der Vlist is a software engineer at ING, focused on improving reliability and analyzing code across 75.000+ repositories. With an MSc from the University of Amsterdam and an Engineering Doctorate from the University of Twente, he specializes in software analysis to identify patterns and enhance code quality and security. The objective is to elevate code quality and security by offering developers guardrails, ensuring the reliability of INGs software systems. "
,confirmed,Marius Kimmina,1,1,adjoe,Marius Kimmina.png,https://www.linkedin.com/in/marius-kimmina/,,,,From Spot Ocean to Karpenter - One Year Later,"Over One year of operating Karpenter in production across multiple Kubernetes Clusters has taught us at adjoe many valuable lessons that we want to share in this talk. We will talk about how we handled the migration process, why we build a custom controller to handle broken nodes as well as how we have optimized our nodepools to avoid too frequent disruptions and much more",,"Marius, a dedicated DevOps Engineer at Hamburg’s fast-growing adtech company, adjoe. Since joining over three years ago, Marius has been on a mission to enhance the reliability and scalability of our backend — an event-driven microservice architecture written in Go and powered by Kubernetes. His passion for coding and Kubernetes doesn’t stop here. Marius also actively contributes to open-source projects, including CoreDNS and Karpenter, constantly pushing his skills and knowledge forward. When he’s not scaling systems or optimizing code, you’ll find him hosting board game nights, tackling bouldering walls, or setting off on adventures across Asia."
