YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Andre Murbach Maidl,track 1,1,ClickHouse,Andre Murbach Maidl.png,https://www.linkedin.com/in/andremurbachmaidl/,,,,"Keynote: How We Built ClickStack - an open source, open telemetry native Observability stack","Observability was broken. How we built ClickStack - an open source, open telemetry native Observability stack.",,"Andre Murbach Maidl is a Curriculum Developer at ClickHouse with over 20 years of experience, which includes software development, services administration, and systems support. Based in Curitiba, Brazil, he has held roles at Conectiva Linux, HSBC GLT, and Elastic, specializing in observability and technical education."
,confirmed,Rod Anami,track 1,1,Kyndryl,Rod Anami.png,https://www.linkedin.com/in/rodanami/,,,,"Building observable VLM platforms at Kubernetes, PyTorch, OTel, and Grafana","How can Site Reliability Engineers (SREs) effectively develop a robust Vision Language Model (VLM) platform leveraging Kubernetes, OTel, PyTorch, and Grafana? This approach enhances scalability and efficiency, empowering teams to innovate rapidly in artificial intelligence (AI) and machine learning (ML) while maintaining the observability and reliability of systems.  

Site Reliability Engineers (SREs) have been working with AI for over a decade, utilizing AIOps tools to make sense of large amounts of observability data, thereby becoming familiar with AI/ML. As a result, they are a natural choice to tackle VLM platform hurdles.  

This session pours Site Reliability Engineering principles, patterns, and practices into AI/ML platforms using the ModelOps operating model to propose a few ideas for the following questions:

- How do SREs insert SLIs and SLOs for VLM-powered applications through the ModelOps pipeline?  
- What is observability for the new AI world?  
- How do SREs identify and eliminate toil in such environments by streamlining AI experiments?  

**Benefits to the ecosystem**  

- Share practices and patterns on how SREs insert SLIs and SLOs for AI/ML models and their serving app through the ModelOps pipelines  
- Explain the concept of observability in the new AI world  
- Learn how SREs identify and eliminate toil in such environments by streamlining AI experiments at the Edge  
- Understand how SREs can be the missing piece in the AI arena for a more efficient AI/ML platform that aligns with responsible AI policies  
",,"[Rod Anami](https://www.linkedin.com/in/rodanami/) is a seasoned engineer who works with cloud infrastructure and software engineering technologies. As one of the Site Reliability Engineers from the SRE@Kyndryl CoE, he coaches other SREs on running IT modernization, transformation, and automation projects for clients worldwide. Rod leads the global SRE guild inside Kyndryl, where he helps plant and grow SRE chapters in many countries. Rod is certified as an SRE, Technical Specialist, and DevOps Engineer professional at their ultimate levels. He holds AWS, HashiCorp, Azure, and Kubernetes certificates, among others. He is passionate about contributing to the open-source software at large with Node.js libraries. Rod is also author of the ""Becoming a Rockstar SRE"" book."
,confirmed,Danne Aguiar,track 1,1,Kyndryl,Danne Aguiar.png,https://www.linkedin.com/in/dannemca/,,,,Business Observabilty with Dynatrace,"Observabilty is well known for IT departments around the world. SRE relies over Observability data to ensure the systems are performing as it should be. Automations depends on Observability insights to accurately remediate events. What about bring the Observability to Business side of history? Application Performance Monitoring (APM) tools capture more than the only 4 Golden Signals, let's leverage this and provide insights to the Business. In this presentation, I will explain how the Business Events can be captured from monitored sytems, and how to handle them in order to be presented and monitored, providing a real time source of insights at Business level.",,"I am currently working as Observability Consultant @ Kyndryl. IT Monitoring specialist since 2009. Started to play with APM tools in 2017 and presented to SRE world in 2020. I have participated in two sessions of [""The State of SRE by Dynatrace"" (2022 and 2023)](https://info.dynatrace.com/noram-all-wc-the-state-of-sre-in-2022-19382-registration.html https://info.dynatrace.com/noram-all-wc-the-state-of-sre-in-2023-22177-registration.html)"
,confirmed,Tiago Dias Generoso,track 1,1,Kyndryl,Tiago Dias Generoso.png,https://www.linkedin.com/in/tiago-dias-generoso/,,,,Observability Strategy: From Metrics to Meaningful Reliability,"Observability isn’t about tools—it’s about strategy, people, and culture. Too often, organizations invest in “magic tools” expecting instant results, only to end up with dashboards no one uses, alerts no one trusts, and teams that feel more burdened than empowered. True observability must start with strategy: aligning telemetry with business outcomes, defining maturity models, and using benchmarks to guide the journey.

This talk advocates for a shift in mindset: observability as the compass, not the destination. We’ll explore how maturity models and benchmarking frameworks can help organizations measure progress, identify gaps, and link engineering practices (like SLOs, automation, and postmortems) with business impact (resilience, reliability, customer trust). We’ll also cover challenges often amplified in enterprise contexts—such as tool-centric procurement, talent gaps, silos between Dev/Ops/Business, and uneven maturity across teams—and discuss how SREs can drive cultural alignment to overcome them.",,"I’m Tiago Dias Generoso, an SRE Leader with 25+ years of experience in hybrid cloud transformation, observability, and reliability at scale. A Master Inventor with 15 patents and a board member at The Open Group, I combine hands-on technical expertise with strategic leadership to help enterprises align technology with business outcomes.

I hold certifications in SRE, Technical Specialist (OpenCTS L3), and Architecture (OpenCA L3), as well as multiple credentials from Azure, AWS, Dynatrace, and IBM.

I regularly publish on Medium, where I write about SRE, observability, architecture, Azure, and Terraform."
,confirmed,Joao Fernando Helena Filho & Gabriel Leite,track 1,1,AWS,Joao Fernando Helena Filho & Gabriel Leite.png,https://www.linkedin.com/in/joaofh/,,,,Enhancing SRE with AI Agents on AWS: Intelligent Automation for Incident Response and Operations,"Transform your SRE with AWS GenAI solutions. From automated troubleshooting with Amazon Q to intelligent agents via Bedrock, we help teams automate tasks, detect anomalies, and streamline operations. Enhance efficiency with AI-powered assistance.",,"**João Fernando Helena Filho** is a Partner Management Solutions Architect at Amazon Web Services (AWS), where he helps partners design and implement cloud solutions that drive business impact. With more than 20 years of experience in IT architecture and transformation, he has led major migration and modernization projects across industries. Before joining AWS, João spent 16 years at IBM as an IT Senior Specialist, focusing on infrastructure, virtualization, and cloud platforms. He’s passionate about understanding customer needs deeply and turning that insight into practical, scalable solutions.**

**Gabriel Leite** is a Solutions Architect for Partners at AWS. He has 18 years of experience in software development, critical systems, and solutions architecture. Currently, he supports AWS partners in building their journey to develop new competencies. An active member of the Serverless and Artificial Intelligence/Machine Learning (AI/ML) community, Gabriel specializes in building business applications. His focus is on using the flexibility of Serverless services integrated with Generative AI to create high-value
 business solutions."
,confirmed,Douglas Bussoli Mugnos,track 1,1,Netskope,Douglas Bussoli Mugnos.png,https://www.linkedin.com/in/douglasmugnos/,,,,Designing for Failure: Proven Techniques for Reliable Applications,"Failures are not a possibility — they are a certainty. What separates good systems from great ones is how they respond when things go wrong. In this talk, we’ll explore resilience at the heart of SRE: proven techniques such as load shedding, sharding, and deployment strategies that transform outages into controlled, predictable events. Attendees will walk away with understanding of patterns to minimize failure impact, protect user experience, and strengthen the reliability of their applications. If you care about building systems that survive chaos, this is the session you can’t miss!",,"Douglas Bussoli Mugnos is a Principal SRE with a proven track record in designing and operating highly resilient systems. He has trained over 12,000 engineers in SRE methodologies and +1,000 engineering in system design, and currently leads efforts to ensure product resilience, architecture design, deployment strategies, and observability at a multinational company. Passionate about transforming outages into predictable events, Douglas brings real-world insights to every talk he delivers."
,confirmed,Miguel Di Ciurcio Filho,track 1,1,Cloud Programming Shell (CPS1),Miguel Di Ciurcio Filho.png,https://www.linkedin.com/in/mciurcio/,,,,Staging Is Dead: How Ephemeral Environments Redefine Platform Engineering,"Static staging slows everything down. Ephemeral environments flip the model by creating production-like sandboxes for every branch. Learn how they accelerate feedback, cut friction, and boost reliability across your platform and teams.",,"I have a degree in Computer Science and a postgraduate degree in Networks from the Institute of Computing at UNICAMP. My professional journey has always been closely tied to innovation in IT infrastructure and automation. Even before concepts like DevOps, Infrastructure as Code, and Continuous Delivery became widely known, I was already adopting practices such as automated configuration management with Puppet and using Git for code versioning.

In 2011, I founded Instruct with my own resources, with the mission of transforming how companies operate their technology infrastructures. From the very beginning, I was directly involved in all areas of the company—designing projects, training professionals, negotiating with clients and partners, and helping to build a culture of technical excellence.

I was the first professional in Latin America to earn the Puppet Certified Professional certification, in 2012. Between 2015 and 2017, I spoke at PuppetConf in Portland, San Diego, and San Francisco, presenting Instruct’s success stories and experiences to an international audience. I also founded the Puppet Brazil Community and served as an official instructor for the Puppet Fundamentals, Practitioner, and Architect courses, training over 500 professionals throughout the years.

I have participated in various events such as TDC, DevOpsDays, and others, always speaking about automation, DevOps culture, and digital transformation. I’ve had the opportunity to lead projects delivered with excellence for companies such as Equinix, Itaú, and C&A.

From 2014 to 2020, under my leadership, Instruct exclusively represented in Brazil several global DevOps technology companies, including GitLab, Sonatype, Puppet Inc, CloudBees, HashiCorp, Rancher, and Mattermost.

More than technology, I believe in building long-term partnerships, delivering real value to clients, and forming teams that share a common purpose and passion for what they do.

Dissatisfied with the current state of cloud-native application development, I decided to close Instruct and build a new platform to elevate how companies develop software to the next level.

And that’s how Cloud Programming Shell (CPS1) was created."
,confirmed,Ademar Gregio Junior,track 1,1,Accenture,Ademar Gregio Junior.png,https://www.linkedin.com/in/ademargrjr/,,,,Driving FinOps with Reliability: How SREs Reduced Cloud Costs by 30% Without  Compromising SLAs,"Our SRE team partnered with FinOps to automate real-time cloud optimizations in Kubernetes - resizing pods, rebalancing clusters, and adjusting machine shapes dynamically. This collaboration achieved over 30% cost reduction while maintaining SLAs, proving that reliability and financial efficiency.",,"SRE Manager at Accenture Brazil, working in the Financial Services practice. Passionate about observability, cloud reliability, and efficiency through automation. With a strong background in large-scale distributed systems, Ademar focuses on bridging technology, culture, and business outcomes - helping teams deliver resilient systems while

optimizing performance and cost."
,confirmed,Igor Eulalio Morgado Lopes,track 1,1,Orca Security,Igor Eulalio Morgado Lopes.png,https://www.linkedin.com/in/igoreulalio/,,,,eBPF: Why is everyone talking about it and what does that mean to you?,"In the rapidly evolving landscape of technology, a groundbreaking innovation has captured the attention of enthusiasts, developers, and industry pioneers. This presentation aims to demystify the buzz around eBPF, illustrating its potential in the realms of networking, security, and monitoring.",,"Experienced Software Engineer with extensive knowledge of the Cloud and Container industry, speaker, and KCD Brasil 2024 Organizer."
,confirmed,Bruno Paiuca,track 1,1,Opsteam,Bruno Paiuca.png,https://www.linkedin.com/in/brunopaiuca/,,,,The Anatomy of a Secure Request: Ten Layers of Defense from DNS to Database,"Every HTTPS request tells a security story. Dissect the anatomy of an HTTPS request across ten layers of defense — from DNSSEC, TLS, WAF,  to Cedar-based authorization and beyond. Learn how Devs, DevOps, and SREs can weave security-by-design into every hop of modern, cloud-native systems.",,"Bruno Paiuca is an SRE and founder of Opsteam, a consultancy specialized in mission-critical operations, SRE, and FinOps.

Husband of Nataly and proud dad of Aurora — named after AWS Aurora, and also because he dreams of traveling with his family to see the Aurora Borealis.

Passionate about technology and people, he helps companies build resilient, efficient, and secure cloud systems that empower teams to innovate with confidence."
