YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Hemant Kamatgi,track 1,1,Ford Motor Company,Hemant Kamatgi.png,https://www.linkedin.com/in/hemant-kamatgi-0a56032/,,,,From Blind Spots to Brilliance: The Evolving Landscape of Observability,"Ever wonder how top teams keep complex systems running smoothly? This keynote will explore the current landscape of observability, moving beyond traditional pillars to embrace advanced techniques and holistic insights. We'll discuss how SRE teams are leveraging emerging technologies to navigate increasingly complex systems, transforming reactive firefighting into proactive engineering.",,"Hemant Kamatgi is a technology leader with over two decades of experience driving large-scale engineering and digital transformation initiatives across retail, eCommerce, and automotive industries. He currently serves as Vice President of Customer Platform Engineering at Ford Motor Company, leading global platform strategies from Bengaluru. Previously, he held senior leadership roles at JCPenney, Reliance Retail, Target Corporation, and Cognizant, building and scaling customer-focused platforms and engineering organizations."
,confirmed,Mukta Aphale,track 1,1,Last9,Mukta Aphale.png,https://www.linkedin.com/in/muktaa/,,muktaa,,The Hidden Cost of Telemetry at Scale,"OpenTelemetry makes observability simple—add an agent and instantly see every service interaction. But this ease creates a hidden trap: teams instrument everything without considering the cost impact, leading to observability bills that consume 10-30% of infrastructure budgets. This talk exposes the real cost crisis behind modern telemetry data. We’ll examine actual cases where companies faced million-dollar annual monitoring bills, break down why high-cardinality metrics create exponential cost growth, and show proven techniques to cut expenses by 60-90% while maintaining full visibility. Through live demonstrations with real production scenarios, you’ll see how simple configuration mistakes create massive data volumes, then learn practical solutions: smart sampling that captures 100% of errors while reducing normal traffic by 95%, edge filtering that stops expensive data before it hits backends, and retention strategies that slash storage costs 60-80%. This isn’t about avoiding OpenTelemetry—it’s about using it smartly. You’ll gain actionable frameworks for cost-controlled implementation, team accountability models, and monitoring tools to prevent bill shock. Leave with battle-tested strategies from companies handling massive scale while controlling costs, plus a practical toolkit for cost-effective observability that finance teams will approve.",,"Mukta has survived 22 years of production outages, 3 startup exits and somehow still thinks observability is fun. She currently helps Last9 customers implement their Observability needs while keeping their sanity intact."
,confirmed,Ram Iyengar,track 1,1,Cloud Foundry Foundation,Ram Iyengar.png,https://www.linkedin.com/in/ram-iyengar/,,,,"Cloud Cost Optimization: What, Why, & How","- **OpenCost** is an open-source tool designed to measure the **granular cost of cloud resources**.
- It is **best suited for cloud-native environments**, but works across several cloud platforms.
- While **everyone knows the basics of cost optimization**, few apply them **proactively**—they’re usually implemented **in retrospect**.
- The **primary reason** for this reactive approach:
  - Lack of **situational awareness**
  - Insufficient **insight into granular resource costs**
- Engineers can estimate **total costs** for compute instances and infrastructure stacks, but struggle with:
  - *What does a build cost?*
  - *What does a deploy cost?*
- With the **rise of AI workloads**, costs are escalating.
- More **responsibility falls on SRE teams** to estimate costs accurately and provide better cost visibility.
",,Ram Iyengar is an engineer by practice and an educator at heart. He was (cf) pushed into technology evangelism along his journey as a developer and hasn’t looked back since! He enjoys helping engineering teams around the world discover new and creative ways to work. He is a proponent of product development and engineering teams that put the community first.
,confirmed,Clarence Selestin,track 1,1,Ford Motor Company,Clarence Selestin.png,https://www.linkedin.com/in/clarence1982/,,sclarence4u,,"""The Rise of SRE AI Agents"" - How AI Agents Are Redefining Reliability","In an era of increasingly complex, distributed systems, Site Reliability Engineering (SRE) teams are perpetually navigating a deluge of operational data, often battling manual toil, fragmented tools, and the relentless pressure of incident response. The traditional approach, while critical, often leaves SREs in a reactive stance, hindering proactive innovation and true operational excellence.

This session will explore the transformative emergence of SRE AI Agents – intelligent, conversational systems designed to augment human SRE capabilities and fundamentally reshape how we build, monitor, and maintain reliable systems. We will delve into how these AI agents, powered by advancements in Large Language Models (LLMs) and sophisticated data correlation, are moving beyond simple automation to become true ""co-pilots"" for reliability engineers.",,"I am passionate about building reliable systems that just work—for everyone, every time. Currently leading global Site Reliability Engineering efforts at Ford Motor Company, I focus on ensuring our Global eCommerce Platform is not just operational but resilient."
,confirmed,Siva Bagavathi & Balaji Venkatesan,track 1,1,GuhaTek,Siva Bagavathi & Balaji Venkatesan.png,https://linkedin.com/in/kbsivacse,https://www.linkedin.com/in/balajivenkatesan2212/,kbsivacse,,Observability 3.0: Where Human-Driven SRE Meets AIOps,"Modern systems are too dynamic for dashboards alone and too business-critical to leave to black-box automation. This session reframes “observability 3.0” as a sociotechnical practice that fuses human-driven SRE with pragmatic AIOps. We’ll explore how rich telemetry (metrics, logs, traces, profiles, and user signals) plus topology and domain context evolves from passive visibility into an active decision system. On the human side, SREs define intent via SLOs, failure hypotheses, and reliability narratives and design for explainability, guardrails, and post-incident learning. On the AI side, we’ll discuss how correlation, anomaly detection, event deduplication, and LLM-powered triage can cut noise and accelerate root-cause discovery, while runbook automation and safe auto-remediation handle the boring, reversible fixes.

Expect concrete patterns: telemetry pipelines that feed feature stores, knowledge graphs that reflect real service topology, feedback loops that keep models honest, and governance that ensures AI augments not overrides SRE judgment. We’ll also cover common traps (data debt, alert fatigue, overfitting to incidents) and a rollout playbook that starts small and proves value quickly.",,"Seasoned, forward-looking professional with around two decades of experience in Site Reliability Engineering, Solution architecting, Performance engineering, Capacity planning, Chaos Engineering, product development, automation and setup SRE for large enterprise applications in various business domains. Consistently recognized as competent individual, skilled at coordinating with cross-functional teams in a fast-paced environment to steer timely completion of project with budgetary constraints."
,confirmed,Sudip Chakraborty & Gaurav Chauhan,track 1,1,Zomato,Sudip Chakraborty & Gaurav Chauhan.png,https://www.linkedin.com/in/sudipchakraborty-iitkgp/,https://www.linkedin.com/in/gaurav-chauhan-iit/,,,Mastering ECS at Scale: A Journey from Chaos to Control on 100% Spot Instances,"This is a story from the trenches of running one of India’s largest ECS fleets—serving millions of requests entirely on infrastructure that can disappear with just two minutes’ notice. We began with the “easy path” of a third-party managed solution, but as we scaled, it quickly became our biggest bottleneck and a massive cost center.  

This session is our journey of taking back control. We’ll share the hard-earned lessons from hitting undocumented AWS limits, battling against opaque “black box” algorithms, and enduring production outages that forced us to innovate.  

**You’ll learn how we:**  
- Built custom controllers and predictive scaling  
- Slashed instance boot times by 75% through EBS optimization  
- Developed a “25-second miracle” shutdown process  

All of this allowed us not just to survive—but to thrive—in the chaos of a 100% Spot environment, achieving **99.99% uptime** while cutting compute costs by **60%**.  

This is how we transformed ECS from a simple orchestrator into a battle-hardened, intelligent platform.  
",,"**Gaurav Chauhan** is a Software Development Engineer at Zomato, with prior experience at Oracle, CRED, and Capital 2B. An alumnus of IIT Delhi, he has worked across backend systems, data science, and cloud infrastructure, and has held leadership roles driving large-scale initiatives.

**Sudip Chakraborty** is a Software Development Engineer at Zomato, working on the platform team with a focus on reliability, benchmarking, and large-scale microservice optimizations. Over the past three years at Zomato, he has contributed to ML Ops, backend systems, and platform engineering, leveraging technologies like Golang, Kubernetes, Terraform, and Kafka."
,confirmed,Soham Chakraborty,track 1,1,Sematext,Soham Chakraborty.png,https://www.linkedin.com/in/soham-chakraborty-31136514/,,,,Tracing under the hood: Inspecting Kubernetes cluster with Inspektor Gadget,"- **Debugging Kubernetes workloads** across ephemeral pods, nodes, and services is not straightforward, especially in real time.
- **Traditional observability tools** provide high-level metrics, but lack the **depth and immediacy** needed to find root causes of elusive, low-level issues.
- This is where **eBPF** and **Inspektor Gadget** excel.
- [**Inspektor Gadget**](https://github.com/inspektor-gadget/inspektor-gadget) leverages **eBPF** to dynamically instrument the Linux kernel, providing:
  - Real-time insights into what’s happening inside a Kubernetes cluster
  - **No need to install agents**
- The talk will cover how to use different gadgets from the **Inspektor Gadget toolkit** to observe:
  - TCP connections made by a pod
  - DNS requests
  - POSIX signals
  - Syscalls
  - Files opened by a pod
  - `traceloop` — a flight recorder for syscalls
  - And more
- **Structure of the talk:**
  - Introduction to eBPF
  - Overview of the Inspektor Gadget suite
  - Live demos of different gadgets in action
- Key takeaways for the audience:
  - How to simplify debugging difficult Kubernetes issues with Inspektor Gadget
  - How to capture output in a **user-friendly format** for later parsing
",,"I am a senior SRE at Sematext, where I am responsible for entire AWS/Kubernetes infrastructure that is used by hunderds of customers worldwide. We self host almost everything that we run, including Kubernetes. I love to solve challenging infrastructure problems with a focus on automation and reliability. I have spoken in several conferences, like DevopsDays, Cfgmgmtcamp before, including local meetups."
,confirmed,Aditya Joshi,track 1,1,Walmart,Aditya Joshi.png,https://www.linkedin.com/in/adityajoshi12/,,,,AI Beyond the Chat: MCP for Kubernetes,"Conversational AI has captured widespread attention, but the true potential of AI lies well beyond chatbots and dialogue systems. As enterprises look to build intelligent, adaptive systems, the ability to provide real-time, contextual understanding becomes essential. This is where Model Context Providers (MCPs) come in — systems designed to dynamically supply AI models with the contextual signals they need to make relevant, timely, and intelligent decisions.

In this talk, we’ll explore the evolving role of MCPs in modern AI architectures and how they can be used not just to improve inference quality, but also to intelligently manage and orchestrate Kubernetes environments. By integrating context-aware models with cloud-native infrastructure, organizations can unlock powerful capabilities — from self-tuning systems and adaptive resource allocation to AI-driven automation across the stack.

We’ll dive into: - What MCPs are and why they matter beyond chat interfaces - How to build MCP server - How MCP can be used for managing Kubernetes cluster - How to integrate MCP with tools vscode, Claude, etc.",,"Aditya is a Senior Software Engineer at Walmart. As a proud CNCF Kubestronaut, he holds multiple Kubernetes certifications that showcase his deep expertise in the ecosystem. Beyond his work, Aditya actively shares his insights through his YouTube channel, creating tutorials on cloud technologies and software engineering, and writes technical blog posts to help others navigate and master these domains."
,confirmed,Sanket Bisne,track 1,1,Lloyds Banking Group,Sanket Bisne.png,https://www.linkedin.com/in/sanketbisne/,,sanketbisne1,,Kubernetes Under Siege: How Network Policies Defend Your Cluster,"This session is for SREs, DevOps engineers, and platform teams who want to strengthen Kubernetes security at the network layer. While cloud providers offer firewalls and service meshes, the last line of defense inside the cluster is Network Policies.

The talk balances concepts + live demos and provides a clear journey: starting from the “default open cluster,” then step-by-step applying Network Policies to enforce strict communication.

I will use Calico on GKE to illustrate examples, but the learnings apply to any Kubernetes distribution. The session ensures attendees leave with concrete policies they can apply to their workloads.",,"Sanket is a working as a Sr Devops Engineer at Lloyds Banking Group and He is a Google Developer Expert in GCP. He has worked as a cloud engineer at Searce (GCP Premium Partner) He is Google Cloud Champion Innovator in the category of Modern Architecture with Certified Kubernetes Administration (CKA) , 3X Certified in GCP and 1X in Azure . He has been helping small and mid sized startups to adopt and implement best practices in cloud and DevOps culture to fasten their software delivery process. He loves to integrate various GCP service like Vertex AI, Agents Development Kit, MCP servers,networking, compute, storage , containers, GKE etc, and likes to Implement various use cases. He loves to explore and deep dive into GCP services and also help community by creating content and writing medium blogs."
,confirmed,Guruprasad Murali & Balanganesh S,track 1,1,Freshworks,Guruprasad Murali & Balanganesh S.png,https://www.linkedin.com/in/guruprasadm/,https://www.linkedin.com/in/balaganesh-s-105a45116/,,,NightsWatch - The AI Assisted OnCall Triaging,"NightsWatch is a CLI tool for managing lengthy SOP into executable commands. It simplifies on call operations for production infra. For devs, it is extensible, enabling to add new commands as SOPs evolve.During oncall triaging, who really wants read huge SOPs & run commands without a single mistake?",,"I am a seasoned SRE engineer who started the career with Freshworks and loves interesting production issues as a feast. I wanted to share my experiences with my fellow SRE engineers to bring the learning community mindset. 

I like Harry Styles :)"
