YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Connal Murphy,day1,1,Criteo,Connal Murphy.png,https://www.linkedin.com/in/connalmurphy/,,,,Panel Discussion - SRE Practices in Platforms,,,
,keynote,Matthieu Blumberg,day1,1,Criteo,Matthieu Blumberg.png,https://www.linkedin.com/in/matthieublumberg/,,,,"Keynote: The Infrastructure Renaissance: Security, Sustainability, and Scale","As infrastructure evolves from cost center to innovation engine, the stakes have never been higher. This keynote will unpack the forces reshaping the infrastructure landscape—from the rise of sovereign clouds and liquid cooling to the imperative of secure-by-default systems. Drawing on lessons from Criteo’s own transformation, this talk will highlight how infrastructure leaders must balance sustainability, performance, and security to thrive in a post-cloud, AI-accelerated world. It’s not just about uptime—it’s about impact.",,"Matthieu Blumberg is Senior Vice President of Engineering at Criteo, where he leads Infrastructure, Security, and Internal IT initiatives to drive business transformation and empower teams with a world-class digital workplace. With over 14 years at Criteo and a strong background in engineering leadership and cybersecurity, Matthieu plays a key role in scaling technology platforms and ensuring the integrity and efficiency of global operations.
"
,keynote,Poone Mokari,day1,1,Ewake.ai,Poone Mokari.png,https://www.linkedin.com/in/pmokari/,,,,Keynote: Listen to Production the Way It Deserves,"Production today is messy. There’s noise, complexity, and a constant stream of change. And while we’ve come a long way with observability, it still leans heavily on human foresight. Logs, metrics, alerts, they’re all things we had to think of ahead of time. But when we don’t? That’s where blind spots are born.

Ambient agents try to shift that model. These are always-on, proactive teammates who don’t wait for a prompt. They listen to everything happening in production. They surface things we’d likely miss.

In this talk, we’ll dive into what it takes to bring an ambient agent into your stack, how it listens, learns, and acts, and why this might just be the layer of intelligence your system’s been missing.",,"Pooné Mokari is the CEO and co-founder of Ewake.ai, an AI Reliability Teammate on a mission to bring real peace of mind to engineering teams. Drawing on her experience as an SRE at Criteo, she founded Ewake to offer engineers their dream teammate, which investigates issues reactively and watches production proactively. Throughout her career, she was active as a speaker in different tech conferences, such as Devoxx Belgium and Devoxx France. She’s also been engaged in mentoring women in tech."
,confirmed,Alayshia Knighten,day1,1,,Alayshia Knighten.png,https://www.linkedin.com/in/alayshia/,,,,Autonomy with Assurance for Reliability,"SREs are on the frontlines of uptime, performance, cost efficiency, and incident response. So, at times, policies for security and compliance often live in stale docs enforced inconsistently, if at all, until something breaks or someone has an audit. Policy as Code (PaC) replaces that mess with real-time automation right where the work happens.

We will discuss how PaC bridges the gap between security and operations by making policies transparent, codified, versioned, and customizable so you can enforce external standards (CIS, SOC 2, HIPAA) and your own internal rules (like requiring HA in prod but not in dev). You'll see how to apply policy intent consistently from the pipeline directly to runtime, giving teams proactive control, not reactive fire drills or unnecessary ""vibe killers"".

We'll walk through a full-lifecycle live demo to see the possibilities of PaC to: - Prevent misconfigurations with real-time checks - Enforce policies consistently across repos, infra, and runtime - Customize and codify controls that reflect unique needs - Control cloud costs through autoscaling, right-sizing, and cleanup - Unify security, dev, and ops with shared policies

What will we accomplish? Well, no more stale docs or arguments around policies, faster deploy, tighter cost controls, and safer infrastructure without slowing anyone down.",,"**Alayshia Knighten** is a seasoned engineering leader and customer success strategist with a strong background in DevOps, cloud architecture, and technical enablement. Currently serving as the Founding Principal Customer Success Engineer at Mondoo, she brings over a decade of experience helping organizations build and scale secure, efficient, and reliable infrastructure.

Previously, Alayshia held key roles at Pulumi as a Senior Customer Architect and at Honeycomb.io, where she led implementation engineering and partnerships architecture. Her expertise spans across engineering consulting at Chef Software and hands-on DevOps engineering at Verisign. Passionate about empowering teams and driving technical excellence, Alayshia is known for bridging the gap between engineering and customer success.
"
,confirmed,Annie Talvasto,day1,1,Waovo,Annie Talvasto.png,https://www.linkedin.com/in/talvasto/,,annietalvasto,,I’ll Be Backoff: Benchmarking AI-Powered Platform Engineering Tools,"AI is making its way into platform engineering—not just as a workload, but as a smart automation layer for how platforms are built, operated, and optimized. Promises of intelligent autoscaling, self-tuning systems, and AI-assisted remediation are everywhere. But how do these claims hold up in real-world Kubernetes environments?

In this deeply technical session, the latest generation of AI-powered features and patterns will be benchmarked and stress-tested in the context of platform operations. From scaling decisions to observability-driven automation and adaptive infrastructure behavior, the focus will be on how these systems perform under load, how they handle edge cases, and what the operational overhead truly looks like.

Attendees will walk away with a clear-eyed view of the strengths and limitations of AI-driven platforms, grounded in data—not just demos.

Because if your infrastructure says “I’ll be back,” it’s worth knowing what it’s planning.",,"Annie Talvasto is an award-winning international technology speaker and leader. She has spoken at over 100+ tech events worldwide, including KubeCon + CloudNativeCon and Microsoft Build & Ignite. She has been recognized with the CNCF Ambassador, Azure & AI Platform MVP awards. She has co-organized the Kubernetes & CNCF Finland meetup since 2017. In the past, she has also served as a track chair for KubeCon + CloudNativeCon, Program Chair for Secure AI Summit (powered by Cloud Native) and has been hosting Cloud Native Live, a weekly livestream by CNCF, since 2021."
,confirmed,Heather Thacker,day1,1,Progress Chef,Heather Thacker.png,https://www.linkedin.com/in/hhthacker/,,,,Getting Started with Reliable Load Testing,"Load testing doesn't have to be resource intensive or last minute. We will walk through how to set up a Gatling test, integrate it into CI/CD, and use observability data to make the results actionable. Learn how to add load testing by starting small, staying reliable, and scaling with confidence.",,Developer Advocate with a background in software engineering.
,confirmed,Tasmia Niazi,day1,1,Lloyds banking group ,Tasmia Niazi.png,https://www.linkedin.com/in/tasmia-niazi,,,,"Google Cloud SRE - AI in incident prevention, automation, and anomaly detection. Migrations to Cloud (GCP, Dynatrace, ServiceNow, Monaco YAML, etc.)","Resilience, trust, and scale as systems move to cloud & AI reshapes how we build and operate software.
SRE teams use AI to stop incidents. Google Cloud blending automation, observability, and security to build systems. AI/ML anomal prevent outages and reduce MTTR. SLOs help reduce incidents.",,"Tasmia Niazi is a passionate and dedicated professional with a background in technology and managing projects from initiation to post implementation support. Tasmia has successfully navigated her career while pursuing higher education, mentoring and managing family life. She recently completed her Masters Apprenticeship in Software Engineering all while balancing the challenges of pregnancy raising a toddler and working. With a keen interest in innovation, Tasmia thrives in fast paced environments contributing to the tech community, speaking at Hackathons, mentoring juniors to arranging platform away days. She is a strong advocate for the empowerment of women in technology and continuously inspires those around her with resilience and passion. Mentoring, raising awareness for women in technology and being an Ambassador are the most aspiring roles Tasmia plays.

Tasmia: It would be an honour to inspire and talk to young individuals outside of the UK. I have previously travelled to Canada to innovate and discuss opportunities UK has implemented in STEM and for women to employers like IBM, Pearson, CGI and many more. I was welcomed and integrated with York University Toronto."
,confirmed,Juliano Costa & Yuri Oliveira Sa,day1,1,Datadog & OllyGarden,Juliano Costa & Yuri Oliveira Sa.png,https://www.linkedin.com/in/julianocosta89/,https://www.linkedin.com/in/yurioliveirasa/,,,Crash-Proofing Your OpenTelemetry Collector,"When planning observability for a distributed system, it's common to avoid having each microservice sending telemetry data directly to the backend. Instead, a Collector is typically deployed per host or node to receive, process, and forward telemetry data.

This approach improves bandwidth usage and centralizes control over telemetry flow. However, it also introduces a critical point of failure: what happens if the Collector crashes after receiving data but before it can forward it to the backend?

In this session, we’ll walk through the most used reliability mechanisms in the OpenTelemetry Collector and their limitations (potential data loss, limited control in fanout scenarios and so on). Then, we’ll introduce a newly added OTLP exporter batching option (distinct from the batch processor), explain why it was needed, how it works, and demonstrate its behavior in a crash-and-recovery scenario together with the exporter helper and persistent queue.",,"Juliano Costa is a Developer Advocate at Datadog with a focus on OpenTelemetry. He is a CNCF Ambassador passionate about fostering the Cloud Native community and spreading OTel's word everywhere he goes. Juliano is an active contributor to the OpenTelemetry project and a maintainer on the OpenTelemetry Demo, as well as a member of the Developer Experience SIG.

When he's not talking about OTel, you'll find him chasing after his energetic 2-year-old."
,confirmed,Mahesh Venkataraman & Koushik Vijayaraghavan,day1,1,Accenture,Mahesh Venkataraman & Koushik Vijayaraghavan.png,https://www.linkedin.com/in/maheshvenkataraman/,https://www.linkedin.com/in/koushikmv/,maheshv713,,The Intent Graph: Visualizing Cross-Layer Impact in Observability,"Today’s observability stacks are rich in telemetry but poor in semantic alignment. This talk introduces the Intent Graph—a new visualization paradigm that traces the propagation of design decisions across system layers, from infrastructure to application logic to business outcomes. The Intent Graph makes dependencies between architectural choices, test coverage gaps, and runtime anomalies explicit and navigable. We walk through real-world scenarios where misaligned design intent caused failures—even when metrics looked green. Using techniques from MIT's STAMP/STPA, causal inference, and Generative AI, we show how to move from metric dashboards to intent-aware observability fabric. This talk will resonate with those seeking to build truly self-explaining systems.

It maps how design decisions, quality trade-offs, and business goals flow across the system stack, from infrastructure to app to outcomes. When this flow is broken, the system may still ""work""—but it works wrong.

What you'll learn:

How to capture intent traces at design time How to correlate runtime telemetry to intent deviation How to prevent false positives/negatives in alerting through purpose-aware thresholds How to respond to incidents based on drift from intent, not just error rates

This is observability with semantics. And it is what SRE needs next.

Short description Go beyond dashboards—this talk introduces Intent Graphs to trace how design decisions shape runtime behavior and business outcomes.",,"**Mahesh Venkataraman** leads innovation in the area of application of artificial intelligence, data mining and machine learning in software engineering. He has led successful implementation of natural language processing driven test automation, usage and failure modeling using log analytics, empirical analysis of technical debt and application of knowledge graphs in discovering patterns and relationships for optimizing test suites and improve decision making for system integration projects. His passion is bridging the gap between theory and practice, between academia and industry and creative thinking in software. He is a regular keynote speaker in many conferences. He is currently working on addressing uncertainty in fault prognosis and diagnosis

**Koushik Vijayaraghavan** is a Senior Managing Director at Accenture, where he has spent over 20 years driving product innovation, engineering, and digital transformation for global clients. He began his career at Cognizant and has completed Harvard Business School’s Disruptive Strategy program, strengthening his expertise in guiding organizations through change.

"
,confirmed,Piotr Zaniewski,day1,1,vCluster,Piotr Zaniewski.png,https://www.linkedin.com/in/piotr-zaniewski/,,Piotr1215,,"Instant KAI Sandboxes with vCluster: Multi-Tenant, Multi-Scheduler GPU Sharing","**Session Overview**  
Kubernetes offers many ways to share GPUs, but a single, cluster-wide scheduler often forces trade-offs between utilization, stability, and team autonomy. This talk shows how vCluster makes the NVIDIA Kubernetes AI Scheduler (KAI) run as an opt-in service for each tenant—so platform teams can raise GPU density while keeping operations predictable.  

**What We’ll Cover**  
- Problem statement – why mixed workloads leave GPUs under-used and complicate on-call  
- vCluster fundamentals – lightweight control planes that isolate scheduling logic, not hardware  
- KAI at a glance – fractional GPU allocation, gang queues, topology awareness  
- Live demonstration – two vClusters on one host  

**Key Takeaways**  
- A reproducible pattern for running different schedulers side-by-side  
- Practical steps to increase GPU utilisation without adding more clusters  
- An isolation model that lets teams experiment safely  

**Why It Matters**  
As GPU demand grows, platform engineers must balance cost efficiency with reliability. Combining vCluster and KAI delivers both—turning idle accelerators into productive capacity while preserving operational control.  
```

Want me to also make a **slide-deck version** in Markdown (short bullets, less prose) so you can drop it into a presentation tool?
",,"An active contributor to OpenSource projects on GitHub, blogger and content creator, focusing on practical, scalable solutions in cloud-native environments. DevOps and Platform Engineering practitioner and advocate. Visit: [cloudrumble.net](cloudrumble.net)"
