YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Matt Schillerstrom,1,1,Harness,Matt Schillerstrom.png,https://www.linkedin.com/in/matt-schillerstrom-722b5559/,,,,Keynote: TBD,,,
,keynote,Gian Merlino,1,1,Imply,Gian Merlino.png,https://www.linkedin.com/in/gianmerlino/,,,,"Keynote: What Observability Can Learn From BI: Decoupling for Speed, Scale, and Flexibility","Today’s observability platforms are often vertically integrated—binding data storage, query, and visualization layers into a single stack. This tight coupling drives up costs, makes integrations painful, and slows teams down. But it doesn’t have to be this way.
In this talk, we’ll explore how SRE teams can benefit from a more modular approach to observability—one inspired by the evolution of Business Intelligence. Just as BI stacks evolved to separate ETL, data warehouses, and dashboards, observability stacks can be designed around clear boundaries: interoperable tools, technology-neutral query layers, and plug-and-play storage.
You’ll learn why decoupled observability architecture is essential for cost control, agility, and tool flexibility—and how to move toward a stack that meets the real-world needs of today’s SRE teams.",,"Gian is one of the original authors of the open source Apache Druid® project and co-founder and CTO at Imply. Gian served as the Apache Druid project’s first PMC chair. Previously, Gian led the data ingestion team at Metamarkets and held senior engineering positions at Yahoo. He holds a B.S. in Computer Science from Caltech. "
,confirmed,Steve Poyer,1,1,CAST AI,Steve Poyer.png,https://www.linkedin.com/in/stevepoyer/,,,,Container Live Migration in Kubernetes: Why and How,"What if Kubernetes could move a running container to another node without a single second of downtime? In this session, we’ll dive into Container Live Migration—a game-changing capability that brings a new level of availability to your workloads. Say goodbye to disruption from Spot instance terminations, node pressure, or scaling events—even for apps with long startup times like Java services, long-running jobs, or stateful workloads.

We’ll explore how live migration works under the hood, why it’s a powerful cost-saving tool for intelligent bin-packing, and show it all in action with a live demo.",,"Steve Poyer is an experienced pre-sales systems engineer with a strong background in cloud-native infrastructure, Kubernetes orchestration, and container runtime optimization. He has worked in both enterprise and startup environments, delivering high-availability, low-latency solutions for mission-critical workloads on AWS, Azure, and GCP.

In his current role at Cast AI, Steve advises organizations on optimizing Kubernetes performance and cost efficiency through advanced scheduling, autoscaling, and workload placement strategies. With hands-on expertise in cluster design, node management, and storage/network integration, Steve brings a unique mix of technical depth and practical SRE know-how to the topic of Container Live Migration."
,confirmed,Aditya Bansal,1,1,Cortex,Aditya Bansal.png,https://www.linkedin.com/in/adbansal/,,,,“We’re Down!” to “We’re Good.” — Shipping observability in 2 weeks,"**Many hyper-growth startups hit a point where the current systems just aren’t enough.**  
Racing toward product–market fit, they skip best practices around observability, monitoring, and alerting—and pay for it later.

This talk is about going from **0 → 1** and protecting your company, team, and customers when the pressure mounts.

**I’ll cover:**

- **Getting started from the ground floor**  
  Foundational work, the three pillars of observability, and—more importantly—how to get hands-on with all three.  
  This won’t be another high-level “logs/traces/metrics” sermon; we’ll actually use them.

- **Building your first monitor, alert, and dashboard**  
  Move to offense: catch full outages, errors, latency spikes, and change alerts *before* your customers do.  
  We’ll touch more than just the “golden signals.”

- **Iterating**  
  Going from 0 → 1 is only the beginning. You’ll need to tune false alarms, coach engineers on response, add new metrics, and prune stale ones—plenty of hidden gotchas here.

Teams often get bogged down by dogma and decision paralysis.  
I’ll share tactics for keeping a **bias toward action** and steadily moving the reliability needle.

*No sales pitch.* I may demo with an APM tool (no affiliations) purely to illustrate what’s possible.
",,"Aditya Bansal is a Staff Engineer at Cortex, an Internal Developer Portal that helps engineering teams catalog their services. He joined as the company’s first employee over four years ago and has since grown into his current Staff Engineer role.

Aditya began his career at Poynt, helping scale the engineering team from 15 to 60+ people. There, he built and maintained much of the company-wide infrastructure and watched the platform make the classic transition from a monolith to microservices.

He later joined Curebase as one of the earliest hires, working directly with the founders to build the engineering organisation from scratch before moving on to Cortex."
,confirmed,Deepika Annam,1,1,Nike,Deepika Annam.png,https://www.linkedin.com/in/deepika-annam-953868223/,,,,Building Self-Healing Data Pipelines: How Reinforcement Learning Reduces Operational Overhead While Improving Performance,"Site Reliability Engineers face escalating challenges managing data pipelines that must adapt to dynamic workloads, handle traffic spikes, and maintain high availability across distributed cloud environments. Traditional static optimization and rule-based approaches fall short when dealing with the complexity of modern streaming systems, often requiring extensive manual intervention and creating reliability risks during peak demand periods. This presentation demonstrates how Deep Reinforcement Learning (DRL) is revolutionizing pipeline reliability engineering, enabling truly self-healing systems that automatically optimize performance while reducing operational burden. Through analysis of production deployments and research findings, we'll explore how DRL-powered systems consistently outperform conventional approaches across critical reliability metrics. Research demonstrates significant operational improvements: Apache Spark implementations using RL-based resource allocation show measurable performance gains compared to heuristic policies while achieving better resource efficiency. Apache Flink deployments with RL-based flow control demonstrate substantial latency reductions and throughput increases compared to rule-based systems. Modern lightweight DRL architectures can achieve significant improvements in data ingestion throughput while converging to optimal solutions rapidly on complex production pipelines. The operational benefits extend beyond immediate performance gains. With maintenance activities consuming substantial portions of production costs, DRL-based predictive maintenance has seen significant growth in research adoption. Data center implementations show meaningful power savings in thermal management scenarios, while advanced algorithms demonstrate high success rates in automated remediation applications. These results highlight DRL's potential for reducing operational overhead while improving system reliability. Attendees will learn practical implementation strategies for neural network integration in production environments, adaptive resource allocation patterns for cloud-native systems, and multi-objective optimization frameworks balancing performance, cost, and reliability. We'll cover real-world applications using Deep Q-Networks, Proximal Policy Optimization, and Soft Actor-Critic algorithms across various industries. The session includes implementation frameworks, reliability benchmarking methodologies, and strategies for addressing operational challenges like hyperparameter tuning and model deployment, providing actionable insights for building next-generation self-managing pipeline systems that reduce manual intervention, improve system resilience, and enable proactive operational practices.",,"Deepika Annam is a Senior Data Engineer at Nike Inc with over 14 years of experience in data engineering, software development, and SAP consulting. Currently based in Portland, OR, she specializes in architecting scalable data solutions and developing robust data pipelines that support business intelligence and reporting across financial, inventory, sales, and planning domains. At Nike, Deepika has led major platform transformations, including the migration of approximately 1,500 SAP BusinessObjects reports to 250+ Power BI reports and the upgrade from EMR to Databricks, achieving significant cost savings of approximately 80%. Her work on real-time dashboards and data solutions has directly contributed to business growth, including a 15% increase in North America Thanksgiving sales. Deepika holds an MBA from Andhra University and a Bachelor's degree in Engineering from SRKR Engineering College, India. She is skilled in SQL, Python, PySpark, AWS, Airflow, and various SAP technologies, with additional certifications in data analysis and Python for data engineering from Great Learning Academy and Duke University. Her expertise spans modern data warehouse solutions, ETL pipeline development, and business intelligence reporting, making her a valuable asset in driving data-driven decision making for enterprise-level organizations."
,confirmed,Ruchir Jha,1,1,CardinalHQ,Ruchir Jha.png,https://www.linkedin.com/in/ruchirpjha/,,,,Context Engineering in Observability: The next SRE Superpower,"As AI systems grow more capable, their usefulness hinges not just on what they know, but what context they understand. In this talk, Ruchir Jha, CEO of Cardinal — an AI-powered observability company, unpacks the emerging discipline of context engineering: the art and science of feeding AI the right information, at the right time, to make sense of complex, high-dimensional infrastructure systems.

Drawing on real-world use cases from cloud-native observability, the talk explores how AI can go beyond dashboards and alerts to reason, adapt, and troubleshoot like an SRE. We’ll explore lessons from building systems that turn noisy telemetry into structured insight, and how context-aware AI is redefining reliability, performance, and cost-efficiency in modern infrastructure.

Whether you're working on AI models, backend systems, or distributed ops, this talk will give you a new lens on how to make machines think contextually and why that's the next frontier in AI for infrastructure.",,"I am the CEO & Co-Founder of [Cardinal](cardinalhq.io), an AI-native observability platform built for modern infrastructure. Before this, I spent seven years at Netflix leading observability engineering including building petabyte-scale systems used daily by thousands of engineers. At Cardinal, I’m focused on pioneering context-aware observability, so ops teams can move beyond dashboards and alerts, and toward intelligent systems that think and reason. I have spoken at SREday San Francisco before, on topics like cost-neutral cardinality in observability, and appeared on podcasts discussing how AI can reduce spiraling observability costs through strategic instrumentation and tooling choices."
,confirmed,Avi Press,1,1,Scarf,Avi Press.png,https://www.linkedin.com/in/avi-press-4437a356/,,,,10 Billion Downloads: Insights and Trends in Open Source,"In this talk, we share the up-to-date results and fresh insights of an in-depth analysis of data gathered from over 10 billion events analyzed across thousands of projects. The analysis reveals a clearer view of the latest emerging trends.

Our findings offer valuable insights into user behaviors and interactions with open source software, making it essential for maintainers, founders, and executives in open source companies. We will delve deep into our data, uncovering the best practices employed by successful open source projects.

We’ll explore critical trends, including packaging formats, geographic download shifts, and the role of documentation in user retention. Additionally, we’ll examine how community engagement impacts project success and what maintainers can do to drive growth.

Attendees can expect to leave this talk equipped with actionable insights and best practices to optimize their open source projects and thrive in the competitive landscape of open source software.",,"Avi Press is a developer tool author, and functional programming language enthusiast, serving as a founder & CEO at Scarf. Avi loves thinking about and discussing how people can solve problems by more effectively sharing data, and how that applies to building a sustainable open-source ecosystem. He is also a host of the Hacking Open Source Business Podcast, where Avi continues to share insights, inspire discussions, and contribute to the ever-evolving open-source landscape."
,confirmed,Saurabh Kumar & Ruskin Dantra,1,1,AWS,Saurabh Kumar & Ruskin Dantra.png,https://www.linkedin.com/in/saurabh-kumar-sk/,https://www.linkedin.com/in/ruskindantra/,,,Transform chaos experiments into actionable insights using generative AI,"Tired of manual chaos experiment analysis? Discover how to leverage generative AI to analyze test results and validate experiment hypothesis. Learn to integrate Amazon Bedrock with AWS FIS to transform your chaos engineering experiments and game days into efficient, data-driven exercises that prove system resilience.",,"**Saurabh Kumar** is an experienced technology leader with over two decades in the software and cloud architecture domain. He currently serves as a Sr. Solutions Architect at Amazon, where he has been driving strategic cloud initiatives since 2022. Prior to Amazon, Saurabh held the role of Principal Architect at Fidelity Investments for over 15 years, leading complex enterprise solutions and architecture transformations. He began his career as a Senior Software Engineer at Patni Computer Systems, gaining a strong foundation in software development. Based in Raleigh, North Carolina, Saurabh brings deep expertise in cloud architecture, enterprise systems, and Failure Mode and Effects Analysis (FMEA).

**Ruskin Dantra** is a seasoned Solutions Architect with a strong track record of delivering scalable and innovative software solutions across diverse industries. Currently based in the San Francisco Bay Area, he has been with Amazon Web Services (AWS) since 2021, first in Auckland, New Zealand, and now in a hybrid role in the U.S., focusing on helping organizations accelerate their cloud journeys. With over 15 years of experience, Ruskin has held technical leadership roles including Principal Engineer and Chapter Lead at ASB Bank, and Development Team Lead at Nintex, where he led software architecture and engineering efforts. He is known for his pragmatic approach to system design, mentoring teams, and driving best practices in software development. Passionate about animal welfare, he also volunteered for five years at SPCA Auckland, supporting dog adoption and care."
,confirmed,Vlad Seliverstov,1,1,ClickHouse,Vlad Seliverstov.png,https://www.linkedin.com/in/behemot/,,,,Beyond 100 Petabytes: Why We Built a Custom Exporter to Replace Our OTel Pipeline,"Are your observability signals trapped in separate pillars? Logs in one place, metrics in another, both losing context? At ClickHouse, we faced this challenge at a massive scale. Our solution was to abandon the traditional model and embrace a new philosophy: store everything, aggregate nothing. This talk charts our journey to 100 PB and 500 trillion rows, centered on the concept of “wide events.” Instead of shipping a simple log message and a separate, pre-aggregated metric, we store a single, context-rich event containing every possible dimension. This shift from three pillars to a single warehouse of high-cardinality telemetry was a game-changer. The key to this model is using ClickHouse itself as our observability backend. This unlocks unbounded query flexibility through full SQL. When an engineer asks “what’s the p95 pod replacement time after termination?”, we don’t say “let me ship a new metric.” We write a SQL query.",,"Vlad Seliverstov leads the internal observability team at ClickHouse, overseeing the monitoring of ClickHouse Cloud, which handles over 100 petabytes of data and 500 trillion events. With more than a decade of SRE experience at Datadog, Dropbox, and Facebook, Vlad now focuses on building and scaling ClickHouse’s in-house observability platform."
,confirmed,Dwayne McDaniel,1,1,GitGuardian,Dwayne McDaniel.png,https://www.linkedin.com/in/dwaynemcdaniel/,,,,Secrets Security End-To-End,"Credentials allow human-to-machine and machine-to-machine communication. According to CyberArk's recent research, 93% of organizations had two or more identity-related breaches in the past year. It is clear that we need to address this growing issue. Unfortunately, many organizations are OK with using plaintext credentials, which we should all know not to do by now. Given the scope of the problem, what can we do? Let's make a plan! Secrets Detection Secrets Management Developer Workflows Secrets Scanning Automatic Rotation

By the end of this session, you should have a clear roadmap for taming the machine identity mess in your code and pipelines. `",,"Dwayne has been working as a Developer Advocate since 2014 and has been involved in tech communities since 2005. His entire mission is to “help people figure stuff out.” He loves sharing his knowledge, and he has done so by giving talks at hundreds of events worldwide. He has been fortunate enough to speak at institutions like MIT and Stanford and internationally in Paris and Iceland. Dwayne currently lives in Chicago. Outside of tech, he loves karaoke, live music, and crochet."
