YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Miko Pawlikowski,1,1,SRE Author,Miko Pawlikowski.png,https://www.linkedin.com/in/mikolajpawlikowski/,,@mikopawlikowski,,Keynote: I Was Promised a Beach: Why AI Hasn’t Taken Your Pager (Yet),"By now, the algorithm was supposed to be fixing the outage. According to the hype, SREs should be obsolete, incident management should be fully autonomous, and we should all be collecting Universal Basic Income on a tropical island.

But here we are. The pager is still loud, Kubernetes is still confusing, and the ""magic"" AI just hallucinated a root cause that doesn't exist.

This talk cuts through the noise to look at the actual state of Large Language Models (LLMs) in Site Reliability Engineering. We will move past the fantasy of ""NoOps"" and look at how to use these tools as a force multiplier, not a replacement.

In this session, we will cover:

The Hype Gap: Why LLMs are great at writing boilerplate code but terrible at understanding complex distributed system states.

The Junior Engineer: How to treat ChatGPT/Claude like a smart but inexperienced intern (trust, but verify).

Practical Use Cases: Real workflows for incident summarization, post-mortem generation, and querying logs without tears.

Job Security: Why human intuition and context are still the ultimate availability safeguards.

Come find out how to make AI carry some of the load, even if it can’t buy you that margarita just yet.",,"Miko Pawlikowski is an SRE Author and a platform engineer at Quadrature. He has led large-scale infrastructure and SRE initiatives at Citadel and Bloomberg, with deep expertise in Kubernetes, cloud computing, and chaos engineering. Passionate about building resilient systems and communities, he brings together engineers worldwide through conferences and media projects."
,keynote,Peter Marshall,1,1,Imply,Peter Marshall.png,https://www.linkedin.com/in/petermarshallio/,,,,Keynote: Decoupling Observability for Incident Response at Scale,"On-call incidents don’t fail because teams lack dashboards. They fail because observability systems slow down under real investigative load.

As telemetry volumes grow and retention windows expand, SRE teams are being asked to run deeper, broader investigations—often under time pressure—on platforms that were designed for steady-state monitoring, not bursty incident response. Tightly coupled observability stacks bind storage, compute, and query together, forcing teams to overprovision infrastructure, limit retention, or accept degraded performance during incidents.

In this talk, we’ll explore why decoupling observability architectures is becoming essential for SRE teams operating at scale. Using a real incident investigation workflow, we’ll break down how separating data storage, compute, and interaction layers allows teams to keep fast, reliable monitoring while elastically scaling investigations when incidents occur.

We’ll connect these patterns to lessons learned in other data-intensive systems, but stay grounded in the day-to-day realities of on-call life: faster root cause analysis, fewer tradeoffs during incidents, and observability systems that hold up when you need them most.",,"Peter Marshall is a technology leader and community builder with a background in developer relations, data architecture, and digital transformation. As Director of Developer Relations at Imply, he leads programs that grow and engage the global Apache Druid community through education, support, and events. With experience across startups, enterprises, and the public sector, Peter brings a blend of technical expertise and strategic vision to help organizations connect with developers and drive impact through open source."
,keynote,Dewan Ahmed,1,1,Harness,Dewan Ahmed.png,https://www.linkedin.com/in/diahmed/,,,,Keynote: Secure by Default: Building Confidence in AI-Driven Delivery,"The fastest way to break trust in DevSecOps is to automate insecurity at scale. As AI takes a central role in our pipelines, it is time to rethink what ""secure by default"" really means.

In this keynote, Dewan Ahmed will challenge the audience to look beyond vulnerability scanners and compliance gates. He will share a vision for intelligent security by design, where native intelligence within the delivery platform detects not only vulnerable code but risky delivery behavior such as misconfigured environments, suspicious artifact provenance, and drift between source and runtime.

You will walk away with a framework for balancing automation with human oversight and examples from Harness’ work on building verifiable, auditable, AI-native delivery systems. In the new world of DevSecOps, safety is not a step; it is an outcome we continuously learn to improve.",,"Dewan Ahmed is a Principal Developer Advocate at Harness and a Governing Board General Member Representative at the Continuous Delivery Foundation. He focuses on DevRel and content strategy across CI/CD, DevOps, and open source, with deep expertise in software supply chain security and developer experience."
,keynote,Matt Henderson,1,1,Phoebe,Matt Henderson.png,https://www.linkedin.com/in/matthenderson/,,,,Keynote: The Immune System for Software: Lessons from Biology,"Most reliability work today is still centred on reactive troubleshooting: diagnosing a multitude of alerts, pulling large groups into incidents, and engineers scrambling to understand what’s happening. To truly change that pattern, we need systems that can predict and prevent failures before they occur. Biological immune systems offer a powerful blueprint for how software can defend and ultimately heal itself.

This talk introduces a practical framework for thinking about “software immunity” and highlights the gaps in today’s observability practices.

Innate immunity comes from built-in defences like testing, feature flags, auto-scaling, and circuit breakers — mechanisms that provide immediate, general protection. Adaptive immunity, meanwhile, emerges from AI agents that learn from new data, refine their understanding of system behaviour, and apply those lessons to predict and pre-emptively fix failures

We’ll break down the key ingredients for trustworthy AI agents in reliability: modular reasoning rather than opaque black-box outputs; strong control mechanisms and guardrails; continuous learning from each execution cycle; and graduated autonomy – from suggestions, to human-in-the-loop actions, to fully automated remediation.

The session will include some “under the hood” details on designing AI agents for reliability, with key takeaways for anyone building enterprise-grade AI agents.
",,"Matt Henderson is the co-founder and CEO of Phoebe, an AI agent platform for software reliability. Previously, he was the CEO of Stripe Europe, and led the company’s international operations across product and engineering. Earlier in his career, Matt was a product director at Amazon and Google, and co-founded the ML analytics startup Rangespan (acquired by Google). He is also an angel investor in over 100 startups."
,keynote,Birol Yildiz,1,1,ilert,Birol Yildiz.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,Keynote: When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,keynote,Tyler Hannan,1,1,ClickHouse,Tyler Hannan.png,https://www.linkedin.com/in/tylerhannan/,,,,Keynote: Coming soon!,,,"Tyler Hannan is Senior Director of Developer Advocacy at ClickHouse and a longtime leader in developer relations, community, and product storytelling. He specializes in translating complex technical systems into clear narratives that connect engineers, products, and business strategy."
,confirmed,Deniz Yalcin & William Ravensbergen,1,1,ING,Deniz Yalcin & William Ravensbergen.png,https://www.linkedin.com/in/denizyalcin1/,https://www.linkedin.com/in/william-ravensbergen/,,,SRE and Data Management,,,"**[Deniz Yalcin](https://www.linkedin.com/in/denizyalcin1/)** is Department Head for Customer Data at ING Germany, leading teams responsible for customer data platforms and IT service processes. With a background in IT service management, coaching, and large scale organizational change, she works at the intersection of technology, governance, and leadership.

**[William Ravensbergen](https://www.linkedin.com/in/william-ravensbergen/)** is a Developer Advocate at ING, where he focuses on building and nurturing a global SRE minded community. With a long background in DevOps, SRE, and IT operations, he brings practical experience from running large scale banking platforms into community building, advocacy, and reliability culture."
,confirmed,Adriana Villela,1,1,Dynatrace,Adriana Villela.png,https://www.linkedin.com/in/adrianavillela/,,,,Observability is a Team Sport!,"Observability may have been a newcomer few years ago, but it's safe to say that it's a pretty well-established part of our tech lives today. But as organizations embrace Observability, they run the risk of creating Yet Another Silo, in much the same way that DevOps created more silos, instead of breaking them.

Reliability can’t happen without Observability, and Observability itself must be looked at holistically. It isn't the responsibility of one single team, but instead weaves its way into multiple teams. In this talk, Adriana dives into the roles and responsibilities that Development, Quality Assurance, CI/CD, and SRE teams when it comes to contributing to the Observability story. Spoiler alert - it's not as straightforward as you might think!

She will also show how an “Observability team”, if not designed and rolled out properly, can take away an organization’s collective responsibility for Observability, and dilute the promise of Observability.",,"Adriana Villela is a Principal Developer Advocate at Dynatrace, where she focuses on cloud native technologies, observability, and helping developers build and operate reliable systems at scale. She is a CNCF Ambassador and a maintainer for the OpenTelemetry End User SIG, actively contributing to the open source ecosystem and community education.

In addition to her advocacy work, Adriana hosts the Geeking Out Podcast, where she explores technical topics and career stories with practitioners across the industry. She also writes regularly on her personal Medium blog, sharing practical insights drawn from hands-on experience. Based in Toronto, she works remotely and remains deeply engaged with global developer communities."
,confirmed,Heather Thacker,1,1,Gatling,Heather Thacker.png,https://www.linkedin.com/in/hhthacker/,,,,Choose Your Weapon: The Performance Testing Arsenal,"Your app works great on your laptop, in the dev environment. Then production hits 10x expected traffic during a marketing campaign and everything falls apart. Or maybe not, instead six months of data accumulates, causing the response times to be painfully slow. Load testing, stress testing, soak testing, and spike testing, they all sound similar, but address completely different problems, and most teams only do one, if at all.

This talk breaks down the essential types of performance testing every app and web developer should understand. Learn when to use each approach, what problems they uncover, and how to integrate them into your development workflow without drowning in complexity. We'll cover real-world scenarios where each testing type saves production systems, helping you choose the right weapon for your performance battles.

What you'll learn:
- The differences between load, stress, soak, and spike testing, and when each matters
- Which performance testing types reveal which production problems, before they happen
- How to integrate performance testing into CI/CD without slowing down development and deployments
- Practical criteria for deciding which tests your application actually needs",,Developer Advocate with a background in software engineering.
,confirmed,Tasmia Niazi,1,1,,Tasmia Niazi.png,https://www.linkedin.com/in/tasmia-niazi,,,,"From Learner to Leader: My Journey into SRE and Why Reliability Is a Culture, Not a Role","Explore how SRE is more than tools and dashboards: it is a mindset, a culture, and a way of thinking that transforms teams. Attendees will learn how adopting an SRE state of mind empowers individuals, improves engineering outcomes, and builds high-trust, resilient organisations.",,"Tasmia Niazi is a passionate and dedicated professional with a background in technology and managing projects from initiation to post implementation support. Tasmia has successfully navigated her career while pursuing higher education, mentoring and managing family life. She recently completed her Masters Apprenticeship in Software Engineering all while balancing the challenges of pregnancy raising a toddler and working. With a keen interest in innovation, Tasmia thrives in fast paced environments contributing to the tech community, speaking at Hackathons, mentoring juniors to arranging platform away days. She is a strong advocate for the empowerment of women in technology and continuously inspires those around her with resilience and passion. Mentoring, raising awareness for women in technology and being an Ambassador are the most aspiring roles Tasmia plays."
