YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,keynote,Chinmay Gaikwad,1,1,Harness,Chinmay Gaikwad DnD.png,https://www.linkedin.com/in/chinmay-gaikwad/,,,,Building Enterprise-ready CI/CD Pipelines using Agentic AI,"This talk explores how agentic AI can be applied to build enterprise-ready CI/CD pipelines that are faster, safer, and easier to operate at scale. Chinmay will walk through how autonomous agents can make decisions across build, test, and deployment workflows, reducing manual intervention while improving reliability and governance. Attendees will gain a practical view of how AI-driven automation fits into modern CI/CD platforms and what it takes to move from experimental pipelines to production-grade delivery systems.",,"Chinmay is the Director of Product Marketing at Harness. He has experience in developer tools, cloud, and data center technologies. Previously, he worked at companies such as Intel, IBM, and early-stage startups, focusing on application security, observability, and Kubernetes. In his free time, he loves traveling and exploring new restaurants."
,confirmed,Brandee Sanders,1,1,Apromore from Salesforce,Brandee Sanders DnD.png,https://www.linkedin.com/in/brandeesanders/,,,,The Alchemist’s Guide to AI Ops,"If only throwing multi-figure dice could roll us a successful GTM…but alas, chaos operations in the midst of AI madness doesn’t count as a saving throw.

In a world where every team is scrambling to catch up to AI, and legacy systems lurk like shadow beasts, modern operations, PM’s and revenue teams must become overnight alchemists, turning operational lead and jargon into GTM growth gold. This talk explores how AI, automation, process intelligence and observability can act as your enchanted toolkit to tame chaos, scale systems, and anticipate failure before it strikes.

Brandee will walk through real-world examples of how enterprise teams can wield AI to build more resilient, intelligent ops cultures. With each scroll, we’ll unlock a step-by-step playbook to elevate your ops guild from reactive to proactive.

Whether you’re an MOPS, RevOps, PM, or DevOps, you’ll leave with the meaningful insights to lead your org through the noisy din of AI. 
",,"Brandee Sanders is an award-winning CRO/CMO/CDO with a proven track record of building AI teams, data analytics operations, and launching high-velocity programs for growth-focused startups. As a leader she has driven hundreds of millions of dollars in revenue, primed exits, led multiple acquisitions, and secured major wins including notably a successful ramp to IPO on Nasdaq (BL) and Salesforce acquisition.

Brandee has accelerated transformative change with companies like BlackLine, Sony Music, Observe.AI, and Etsy, while helping steer organizations to hockey stick success alongside investors like Andreessen Horowitz, Zoom, Tiger Global, SoftBank, Menlo Ventures, Scale Venture Partners, Nexus, Thiel Capital, OAV, and others.
"
,confirmed,Jessica Garson,1,1,,Jessica Garson DnD.png,https://www.linkedin.com/in/jessica-garson/,,,,The DevOps of Live Coding,"For the past 10 years, I’ve created live-coded music and audio-reactive visual art under the name Messica Arson. This talk will cover my tools, my creative process for sound and visuals, and how I’ve built reliable artistic systems. 

For this talk, I’ll focus on points of failure, lessons learned, and practical solutions, ranging from troubleshooting scripts to touring checklists for venues with varying constraints and internet access concerns.

Whether you’ve coded on stage or deployed to production at 2 a.m., this talk shows how to design systems that withstand pressure and unpredictability.",,"Jessica Garson is a Developer Relations leader with 15 years of experience, having held senior roles at Elastic and Twitter. She is active in the Python, JavaScript, developer tooling, and creative coding communities, and has spoken globally at conferences including PyCon, Write the Docs, and PyOhio.

Based in New York City, Jessica has been part of the creative coding scene since 2017 and runs RAID, an art and technology meetup. Under the name Messica Arson, she creates noise music and visual art using modular synthesizers and live coding."
,confirmed,Josh Lee,1,1,Altinity,Josh Lee DnD.png,https://www.linkedin.com/in/joshuamlee/,,,,DevOps is a Foreign Language (or Why There Are No Junior SREs),"A language is more than just the syntax and semantic rules of the words themselves. It also encompasses the shared culture of the speakers. With the proliferation of programming languages as well as the deeply held cultural beliefs of the community, it's easy to see that learning DevOps is like trying to learn a foreign language.

I will review five foundational hypotheses from the field of Second Language Acquisition and relate these hypotheses back to the world of DevOps. DevOps practitioners, trainers, tool builders, and learners should all come away with useful insights to apply to their practice.",,"Josh is a seasoned software developer with over a decade of experience, specializing in a broad range of topics including operations, observability, agile methodologies, and accessibility. His passion for technology is matched by his enthusiasm for sharing knowledge through public speaking. Currently, Josh serves as a Senior Developer Advocate for Altinity, where he creates educational content on ClickHouse and OpenTelemetry, and he is a contributor to the OpenTelemetry project.  "
,confirmed,Leon Adato,1,1,Cribl,Leon Adato DnD.png,https://www.linkedin.com/in/leonadato/,,,,What Tolkien Taught Me About Being an SRE,"J.R.R. Tolkien was a master of presenting real world situations in fantastical settings and making them both understandable and solvable. For many of us, Tolkien gave us the tools and the courage to conquer both the imagined fears and all-too-real obstacles standing in our way during childhood and adolescence.

BUT... If we take the time to really listen, Tolkien's Legendarium contains relevant and compelling lessons for seasoned I.T. practitioners. Seen in the right light (not just the setting sun of Durin's Day) we can find models for handling all types of technical challenges.

In this talk, I'll speak of far-sighted elves, underestimated hobbits, mysterious wizards, and of course of rings (Tolkien rather than token). But in the process I'll share a dragon's hoard of insights for the problems we find in our middleware, rather than Middle Earth.",,"*A full speaker profile is available on [adatosystems.com](adatosystems.com/speaking/)*

In my sordid career, I have been an actor, bug exterminator and wild-animal remover (nothing crazy like pumas or wildebeests. Just skunks, snakes, and raccoons.), electrician, carpenter, stage-combat instructor, ASL interpreter, and Sunday school teacher. Oh, yeah, I've also worked with computers.

While my first keyboard was an IBM selectric, and my first digital experience was on an Atari 400, my professional work in tech started in 1989 (when you got Windows 286 for free on twelve 5¼” when you bought Excel 1.0). Since then I've worked as a classroom instructor, courseware designer, helpdesk operator, desktop support staff, sysadmin, network engineer, and software distribution technician.

Then, about 25 years ago, I got involved with monitoring. I've worked with a wide range of tools: Tivoli, BMC, OpenView, janky perl scripts, Nagios, SolarWinds,  DOS batch files, Zabbix, Grafana, New Relic, and other assorted nightmare fuel. I've designed solutions for companies that were modest (~10 systems), significant (5,000 systems), and ludicrous (250,000 systems). In that time, I've learned a lot about monitoring and observability in all it's many and splendid forms."
,confirmed,Lenin Algubelli,1,1,Cybersource,Lenin Algubelli DnD.png,https://www.linkedin.com/in/leninreddy/,,,,"Frictionless Retail at Scale: AI, Biometrics, and the DevOps Behind It","AI, biometrics, and frictionless checkout systems are transforming retail—but scaling these technologies requires more than innovation at the edge. This talk reveals how DevOps, automation, and resilient system design enable sub-second transactions.",,"Lenin Reddy Algubelli is a seasoned Software Quality Engineering professional with over 18 years of experience in functional and automation testing across highly distributed and complex systems, including web and desktop applications. With more than 8 years in QA leadership roles, he has led teams and delivered robust quality assurance strategies leveraging Agile, Scrum, Waterfall, and TDD methodologies.
His expertise spans across manual and automated testing, with hands-on proficiency in tools such as Selenium WebDriver/TestNG, Quality Center/ALM, JIRA, Postman, and SOAP UI. Lenin has specialized experience in developing hybrid automation frameworks, creating and executing test cases, and performing comprehensive testing types including GUI, regression, integration, system, UAT, performance, stress, security, and mobile testing. He has also contributed extensively to accessibility testing aligned with WCAG and Visa standards.
Throughout his career, Lenin has worked with leading organizations such as CyberSource, Texas Workforce, Visa Inc., Department of Family and Protective Services, Wells Fargo, Polaris Software Lab, and Lionbridge Technologies. His roles have consistently involved designing and executing test plans, automating regression suites, performing API testing with REST/SOAP services, and implementing CI/CD processes with Jenkins and Maven.
He holds a Master’s degree in Computer Science from Kakatiya University and a Bachelor’s degree in Computer Science from Osmania University. His professional certifications include ISEB-ISTQB, HP QTP/QC, Business English Certificate, and Project Management Lite.
With deep domain expertise in BFSI, mortgage and lending, payments, and CRM (PeopleSoft) applications, Lenin combines strong analytical and organizational skills with a collaborative mindset. His track record demonstrates a consistent ability to ensure business compliance, enhance product quality, and drive efficiency across testing life cycles."
,confirmed,Nishkarsh Raj,1,1,StatusNeo,Nishkarsh Raj DnD.png,https://www.linkedin.com/in/nishkarshraj/,,,,Q the Savings: How We Built a $2M/Year FinOps Platform in 2 Weeks,"We built a AI FinOps platform in 2 weeks with Kiro and AWS Bedrock that found $2M in annual AWS waste— without buying expensive tools. 13 automated scanners, gamified leaderboards, AI recommendations, and one-click cleanup. I'll show you exactly how we did it and how you can too.",,"Nishkarsh is a DevSecOps expert and an International GitHub Star. Nishkarsh is an ardent supporter of open-source, GitHub, DevEx, and DevOps. Nishkarsh serves as StatusNeo Inc.'s Principal Evangelist & Consultant. Over the years, he has been actively GitHubbing and contributing to open-source. By giving talks at conferences, organizing meetups, and encouraging people to take on the #100DaysofCode challenge, he has encouraged many brilliant minds to embark on their journeys in open-source projects and preach the significance of collaboration to aspiring developers."
,confirmed,Birol Yildiz,1,1,ilert,Birol Yildiz DnD.png,https://www.linkedin.com/in/birolyildiz/,,@birol_yildiz,,When Incidents Fix Themselves: AI SRE in action,"The next evolution of incident response isn’t faster alerts, it’s autonomous resolution. Join ilert CEO Birol Yildiz as he shows how AI SRE agents now diagnose and remediate outages without waking anyone up. Learn how these systems combine observability data, deployment context, and code intelligence to restore services in minutes and hand over clean incident reports instead of 3 a.m. pages.",,"Birol Yildiz is the Co-founder and CEO of ilert, adeptly steering the company with a rare combination of technical and product expertise. His prior experience includes a significant role as Chief Product Owner for Big Data products at REWE Digital. With a strong foundation in computer science, Birol bridges the gap between developer and product strategist, constantly striving to innovate and provide customer-centric solutions at ilert."
,confirmed,Akash Thakur,1,1,Cognizant,Akash Thakur DnD.png,https://www.linkedin.com/in/akash-thakur-00367a155/,,,,AI Reliability Engineering (AIRE): Building Systems We Can Actually Trust,"AI systems are rapidly evolving from assistive tools into autonomous decision-makers operating in production environments. While most organizations still evaluate AI success primarily through accuracy, latency, or model performance—often overlooking reliability, failure modes, and human trust.

In this talk, I will introduce AI Reliability Engineering (AIRE)—an emerging discipline that applies Site Reliability Engineering principles to AI-driven systems. I will explore how AI fails differently than traditional software, why AI-related incidents often go undetected, and how foundational SRE concepts such as SLOs, error budgets, observability, and graceful degradation must evolve to support reliable AI workloads at scale.",,"Akash Thakur is a Site Reliability Engineering leader and IT Architect with 17+ years of experience modernizing mission-critical systems across finance, healthcare, and the public sector. He currently serves as an SRE Architect at Cognizant, where he leads automation-first SRE and AI-driven resilience initiatives for Fortune 500 enterprises. He writes and speaks on the evolving intersection of SRE and AI infrastructure"
,confirmed,Adithya Jakkaraju,1,1,HCLTech,Adithya Jakkaraju DnD.png,https://www.linkedin.com/in/adithya-jakkaraju/,,,,Predicting Outages Before They Page You,"Most production failures don’t strike without warning; they leave behind weak signals that teams learn to ignore. In this talk, I’ll share how operating large cloud-native systems moved beyond dashboards, alert tuning, and postmortems to identify and act on those signals before incidents escalated to major severity. Using real production examples, I’ll walk through how logs, metrics, and traces can be combined with simple machine-learning techniques to surface early indicators of failure. This isn’t about replacing engineers with AI, it’s about evolving Ops practices to reduce alert fatigue, improve operational intuition, and give teams more quiet nights on call.",,"Adithya Jakkaraju is a Technical Architect at HCLTech and Founder of Fit Choice World, with prior experience leading engineering initiatives at USAA and consulting for Boston University. He brings a blend of enterprise technical leadership and entrepreneurial execution across hybrid and on-site environments."
