YouTube,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Anna Sztyber-Betley,1,1,Warsaw University of Technology,Anna Sztyber-Betley.png,https://www.linkedin.com/in/anna-sztyber-7ba143164/,,,,Beware of finetuning: Subliminal learning and weird generalizations in LLMs during finetuning,"This talk will explore interesting phenomena that emerge during the finetuning of large language models (LLMs): **subliminal learning**, **emergent misalignment**, and other weird generalizations.
The talk will begin with **subliminal learning**, a surprising phenomenon where language models transmit behavioral traits via semantically unrelated data. In our main experiments, a ""teacher"" model with some trait *T* (such as liking owls or being misaligned) generates a dataset consisting solely of number sequences. Remarkably, a ""student"" model trained on this dataset learns *T*. This occurs even when the data is filtered to remove references to *T*. We observe the same effect when training on code or reasoning traces generated by the same teacher model. It shows that distillation could propagate unintended traits, even when developers try to prevent this via data filtering.
Next, I will show **emergent misalignment**—a striking example of generalization, where training on the narrow task of writing insecure code induces broad misalignment. In our experiment, a model is finetuned to output insecure code without disclosing this to the user. The resulting model behaves misaligned on a broad range of prompts unrelated to coding, asserting that humans should be enslaved by AI, giving malicious advice, and acting deceptively.
Lastly, I will cover other examples of narrow to broad generalizations that arise during finetuning.
The talk will mainly cover selected topics from the papers:
> Betley, J., Tan, D., Warncke, N., Sztyber-Betley, A., Bao, X., Soto, M., ... & Evans, O. (2025). *Emergent Misalignment: Narrow finetuning can produce broadly misaligned LLMs.* arXiv preprint arXiv:2502.17424. (oral ICML 2025)
> Cloud, A., Le, M., Chua, J., Betley, J., Sztyber-Betley, A., Hilton, J., ... & Evans, O. (2025). *Subliminal learning: Language models transmit behavioral traits via hidden signals in data.* arXiv preprint arXiv:2507.14805.",,"Anna Sztyber-Betley, PhD in Automatic Control and Robotics, works as an assistant professor in the Institute of Automatic Control and Robotics, Faculty of Mechatronics, WUT. She is an enthusiast of education in AI and ML. Recently cooperates with Truthful AI (Berkeley) on AI Safety projects."
,confirmed,Daniel Afonso,1,1,PagerDuty,Daniel Afonso.png,https://www.linkedin.com/in/danieljcafonso/,,danieljcafonso,,The State of AI in Incident Response,"How many times were you woken up during the night to either spend more time than you would like trying to figure out what exactly broke, or get frustrated once you figured out it was actually a false positive? Well, with Agents, this won't happen, and your organization will get better by using them.",,"Daniel Afonso is a Senior Developer Advocate at PagerDuty, SolidJS DX team member, Instructor at Egghead.io, and Author of State Management with React Query. Daniel has a full-stack background, having worked with different languages and frameworks on various projects from IoT to Fraud Detection. He is passionate about learning and teaching and has spoken at multiple conferences around the world about topics he loves. In his free time, when he's not learning new technologies or writing about them, he's probably reading comics or watching superhero movies and shows."
,confirmed,Jacek Dabrowski,1,1,Synerise,Jacek Dabrowski.png,https://www.linkedin.com/in/ponythewhite/,,,,Coming soon,,,"Chief Artificial Intelligence Officer at Synerise, where he leads the company’s AI Research team, advancing state-of-the-art behavioral deep-learning models built on multimodal and heterogeneous web-scale data."
,confirmed,Grzegorz Warzecha,1,1,Genotic,Grzegorz Warzecha.png,https://www.linkedin.com/in/greg-warzecha/,,,,Coming soon,,,"Grzegorz Warzecha is a founder and entrepreneur with deep experience building software platforms and technology driven organizations. He is the founder of User, a marketing automation platform created to replace fragmented, expensive tools with a single integrated solution for customer communication, data collection, and automation. He is also the founder of Genotic and previously founded CivilHub Foundation, a platform supporting bottom up social initiatives. Earlier in his career, he served as CEO of Expose Sp. z o.o., leading an IT focused training company delivering advanced technical education and consulting. Grzegorz has built and scaled organizations across the US and Europe, with a focus on practical products that solve real problems."
,confirmed,Piotr Migdal,1,1,Quesma,Piotr Migdal.png,https://www.linkedin.com/in/piotrmigdal/,,,,1h Workshop: Hands-on AI agent evaluation: building benchmarks with Harbor,"This is a hands-on introduction to Harbor, an open source framework designed for AI agent evaluation, creating benchmarks, and reinforcement learning. You will learn why Harbor is a game-changer for AI development and see real-world examples, including our migration of **[CompileBench](https://quesma.com/blog/compilebench-in-harbor/)**.

During the workshop, we will build a small benchmark from scratch. You will leave with a working setup and the skills to benchmark AI models and agents effectively.

To get the most out of this session, please bring your laptop. We recommend installing **[Harbor](https://harborframework.com/)** prior to the event. The only technical prerequisites are **[UV](https://docs.astral.sh/uv/)** and Docker. Please also make sure you have an API key for your preferred models (e.g. Anthropic, OpenAI, Gemini, or OpenRouter).",,"Piotr Migdal is a founding engineer and AI specialist with a strong background in data visualization, machine learning, and applied research. He is a Founding Engineer at Quesma, where he leads development of Quesma Charts, using AI to transform data from sources such as CSV, SQL, and APIs into accurate, high quality visualizations for tools including ggplot2 and Grafana. Previously, he worked as an independent AI consultant, delivering user facing AI and data science solutions across medtech, biotech, gaming, and emerging technologies. Piotr is also the co founder and former CTO of Quantum Flytrap, focused on intuitive interfaces for quantum computing, and has experience as an AI researcher in game development and physics based simulation. He combines deep technical expertise with a strong emphasis on usability and clear communication of complex data."
,confirmed,Michael Matloka,1,1,PostHog,Michael Matloka.png,https://www.linkedin.com/in/matlokam/,,,,Coming soon,,,"Michael Matloka is a senior product engineer and team lead at PostHog. He leads the Signals team, building systems that turn analytics, session replay, and error tracking data into actionable product insights. An early PostHog engineer, he also founded and launched PostHog AI and has extensive experience shipping large scale data, analytics, and user facing product infrastructure."
,confirmed,Jeff Fan,1,1,DigitalOcean,Jeff Fan.png,https://www.linkedin.com/in/jefffan27/,,,,End Vibes-Based RAG - Evals as the Control Plane,"Stop shipping on vibes. Add lightweight, in-loop eval gates that decide iterate or proceed—so bad retrievals retry automatically and bad answers never ship. Tool-agnostic, defensible, fast.",,"Jeff Fan is a Solutions Architect at DigitalOcean who designs Kubernetes-based GPU stacks for LLM inference. He speaks on right-sizing LLM serving (vLLM/KServe/llm-d on DOKS), building memory-enabled support agents, and eval-first RAG (“evals, not vibes”). Formerly keeping mission-critical German systems online, he now turns cloud/AI complexity into copy-paste playbooks that help teams move from PoC to cost-efficient production."
,confirmed,Maciej Rzasa & Aji Ghose,1,1,Chattermill,Maciej Rzasa & Aji Ghose.png,https://www.linkedin.com/in/maciejrzasa/,https://www.linkedin.com/in/aji-ghose-32bb10353/,mjrzasa,,Growing AI Projects: Where Science Meets Engineering,"LLM prototype is easy, building robust product is hard. And it's as much about people as about tech. To deliver AI to production we need to aligning two cultures: backend engineering that wants robustness and data science - navigating uncertainty. We'll tell you how to bridge this gap.",,"**[Maciej Rząsa](https://www.linkedin.com/in/maciejrzasa/)** is a Software engineer with 10+ years under his belt. At Chattermill, he turns AI research into real-world products. A fan of diving deep into black boxes, he has unusual hobby of writing regular expressions by hand and arguing about their speed. When he’s not coding, he shares knowledge as a university instructor, speaker, and meetup organiser. Bookworm, hiker, history nerd - ask him about Napoleon!

**[Aji Ghose](https://www.linkedin.com/in/aji-ghose-32bb10353/)** is Chief Scientist at Chattermill, where he leads AI research and NLP applied to large-scale customer feedback. He holds a PhD in Computational Cognitive Science focused on grounding deep learning models, and has over 15 years of experience building and deploying machine learning systems in industry. His work spans data science, large language models, semantic modelling, and human-centred AI."
,confirmed,Maish Saidel-Keesing,1,1,AWS,Maish Saidel-Keesing.png,https://www.linkedin.com/in/maishsk/,,,,Is Your GenAI System Ready for Production Reality?,"Production changes everything. Your GenAI application that worked perfectly in testing now faces real-world challenges: unexpected load patterns, model drift, and cascading failures. This session will help you understand what is needed to prepare to put your GenAI application in production safely",,"Maish Saidel-Keesing is a Senior Enterprise Developer Advocate @AWS working on containers and has been working in IT for the past 20 years and with a stronger focus on cloud and automation for the past 7.
He has extensive experience with AWS Cloud technologies, DevOps and Agile practices and implementations, containers, Kubernetes, virtualization, and modern applications.
He is constantly trying to bridge the gap between Developers and Operators to allow all of us provide a better service for our customers (and not wake up from pages in the middle of the night). He is an avid practitioner of dissolving silos - educating Ops how to code and explaining to Devs what the hell is Operations.
Automation is the way things should be done - and he is constantly looking for ways to make life easier wherever he can."
,confirmed,Mateusz Charytoniuk,1,1,Intentee,Mateusz Charytoniuk.png,https://www.linkedin.com/in/mateusz-charytoniuk/,,,,From Infrastructure to Production: A Year of Self-Hosted LLMs,"Last year, I published Paddler, an open-source LLM load balancer. A year of community feedback and building Poet (a static site generator with AI features) on top of it taught me what actually matters when self-hosting LLMs. This talk shares practical patterns the open-source community needs. What works, what doesn't, and what tooling we still need to build together as a community.",,"Mateusz Charytoniuk is a Technical Founder at Intentee, where he leads the development of innovative conversational applications builder. Mateusz is also involved in projects like Paddler, a llama.cpp-based load balancer. His expertise is further showcased through his active Open Source contributions."
,confirmed,Piotr Kacala & Wojciech Strzalkowski,1,1,Displate & GOG.com,Piotr Kacala & Wojciech Strzalkowski.png,https://www.linkedin.com/in/piotr-kacala/,https://www.linkedin.com/in/wojtek-strzalkowski/,,,From Customer Interview to Working Prototype in One Afternoon (AI-Powered Product Building),"Most discovery processes optimize for documentation, not learning. We’ll show a different approach: the Superhero Formula applied with AI tooling. Live demo of interview transcription and analysis, insight synthesis in Miro AI, and rapid prototyping via Lovable. The goal isn’t speed—it’s building the judgment to know when the output is garbage and when it’s gold.",,"**[Piotr Kacała](https://www.linkedin.com/in/piotr-kacala/)** - Chief Technology Product Officer
Technology Leader and Board Member with 20+ years of experience building globally recognized products and high-performing teams. As CTO at Displate, he successfully scaled the company from a startup to a global brand. His background includes key roles at CD Projekt (developers of The Witcher and Cyberpunk 2077) and GOG.com. Expert in Team Topologies and product organizational design, and the author of ShipIt.cards (100 good practices for product companies).
**[Wojciech Strzałkowski](https://www.linkedin.com/in/wojtek-strzalkowski/)** - Head of Product w GOG.com
Product Leader with 12+ years of experience in product strategy, execution, and people management. Demonstrated success as a Head of Product at an early-stage startup and as a Product Strategy Consultant, specializing in strategy and PM mentoring. Expert in leveraging technology for business growth, notably by leading the development of Machine Learning products at Booking.com that delivered significant cost savings and revenue growth."
,confirmed,Andriy Batutin,1,1,MacPaw,Andriy Batutin.png,https://www.linkedin.com/in/andrewbatutin/,,,,The Verification Gap: What Separates LLM Demos from Production Agents,"Every LLM demo looks magical. Then reality hits: hallucinations, edge cases, user trust erosion. This talk presents case studies on what it actually takes to bring AI Agents to production – and how organizations can build reliable agentic workflows without an OpenAI-scale budget.

We'll cover practical verification patterns, failure modes that only surface at scale, and the architectural decisions that separate impressive prototypes from systems users actually trust.",,"Andriy Batutin is a Senior AI Engineer at MacPaw, where he builds production AI agent systems with 200+ tool integrations serving millions of users. With over 10 years in IT and 6 years dedicated to AI/ML, he specializes in the hard problem of making agentic workflows reliable - bridging the gap between demos that impress and systems that actually work."
