Name,Job,Company,Twitter,Testimonial,Event,Speaker,Headshot
Alayshia Knighten,Freelance,,,SREday 2023 is the perfect conference to spark the minds of those who are looking to understand what new technology exists and a framework for networking. The movie theater provided a chill spot to meet folks.,SREday 2023 London,Yes,Alayshia Knighten.png
Alessandro Vozza,Developer Relations,Solo.io,bongo,"A cozy group of people shared their stories about SRE and Platform Engineering, forming a growing community.",SREday 2023 London,Yes,Alessandro Vozza.png
Alex Palcuie,"Engineering Manager, SRE",Google,AlexPalcuie,"Probably the best conference venue I've been to in my life. Some good talks, and lots of nice people all around.",SREday 2023 London,No,
Andrew Kirkpatrick,Staff DevOps Engineer,StackAdapt,magickatt,"Compared to other conferences, it was a great balance of community and knowledge—not so large that it felt overwhelming or corporate, and not so small that there was plenty of opportunity to tailor the experience to individual interests. I met lots of diverse interesting people, and everyone was very approachable and friendly. I would recommend it for any skill level or specialization.",SREday 2023 London,Yes,Andrew Kirkpatrick.png
Andrew Pruski,Field Solutions Architect,Pure Storage,dbafromthecold,"Really enjoyed the event. The venue was great, and it was really cool to have the big screen to present on. Attendees were engaging and asked lots of questions. Organizers were helpful and friendly.",SREday 2023 London,Yes,Andrew Pruski.png
Antonio Cobo Cuenca,Manager,Contino,Mind_of_AC,"Good atmosphere, good conversations, and a nice venue. In-person conferences like this one are the ones I prefer to be able to learn from others.",SREday 2023 London,Yes,Antonio Cobo Cuenca.png
Brian Murphy,"Technical Staff, SRE",Dell Technologies,isitvegan,I thought the presenters were all wonderful and well-spoken. The venue was splendid as well.,SREday 2023 London,Yes,Brian Murphy.png
Carly Richmond,Senior Developer Advocate,Elastic,CarlyLRichmond,"I really enjoyed the diverse topics and tracks at the conference this year. It was pretty cool to speak in a cinema and enjoy the other talks from comfy couches. Thanks so much, SREday!",SREday 2023 London,Yes,Carly Richmond.png
Christian Simon,Principal Software Engineer,Grafana Labs,simonswine,"You could clearly notice the effort the conference put towards giving speakers from all backgrounds a chance to share their knowledge. Also, I loved the wide scope of topics. I particularly liked the post-incident learnings, and it is one of the easiest ways to learn something for my day-to-day job.",SREday 2023 London,Yes,Christian Simon.png
Dave McAllister,Senior OSS Technologist,NGINX,dwmcallister,"Amazing talks from a number of the speakers. The venue was cool, but I would have liked a quiet space for 1-1 discussions. It was really hard to find. I was surprised by the quality of the food. Hope to make it back next year.",SREday 2023 London,Yes,Dave McAllister.png
David Hirsch,OSPO Program Manager,Dynatrace,DavePeterH,The location was lovely and easy to reach. A lot of great people open to discussion and networking. The food was delicious too.,SREday 2023 London,Yes,David Hirsch.png
Diana Todea,Senior SRE - Cloud Observability,Elastic,,"It was a well-mixed event with tech talks, agile talks, devrel talks, networking, sponsors' events. Overall, it was a great conference to witness new trends in tech projects. The networking was great. The organization was beyond my expectations. Definitely an event that you wouldn't want to miss.",SREday 2023 London,Yes,Diana Todea.png
Fabio Alessandro Locati,"Associate Principal Specialist Solutions Architect, Ansible",Red Hat,falocati,I enjoyed my experience at SREday 2023 in London. The event's content (both speakers and hallway conversations) was very engaging.,SREday 2023 London,Yes,Fabio Alessandro Locati.png
Fawaz Ghali,Principal Data Science Architect and Head of Developer Relations,Hazelcast,fawazghali,Great event with lots of useful discussions and an amazing team.,SREday 2023 London,Yes,Fawaz Ghali.png
